CreditScore,AnnualIncome,LoanAmount,LoanDuration,Age,EmploymentStatus,MaritalStatus,NumberOfDependents,EducationLevel,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,InterestRate,PaymentHistory,SavingsAccountBalance,CheckingAccountBalance,InvestmentAccountBalance,RetirementAccountBalance,EmergencyFundBalance,TotalAssets,TotalLiabilities,NetWorth,LengthOfCreditHistory,MortgageBalance,RentPayments,AutoLoanBalance,PersonalLoanBalance,StudentLoanBalance,UtilityBillsPaymentHistory,HealthInsuranceStatus,LifeInsuranceStatus,CarInsuranceStatus,HomeInsuranceStatus,OtherInsurancePolicies,EmployerType,JobTenure,MonthlySavings,AnnualBonuses,AnnualExpenses,MonthlyHousingCosts,MonthlyTransportationCosts,MonthlyFoodCosts,MonthlyHealthcareCosts,MonthlyEntertainmentCosts,LoanApproved
382,56595.2,22112.0,1.8,42,Employed,Widowed,2,High School,Other,452,0.9369865463572364,11,9,0.1881289030381923,0,Auto,0,0.0451475390327397,3,10548,3290,15499,20631,771,144538,72853,55819,23,192106,1180,7654.0,3956,37817.0,0.3145425516875679,Uninsured,Uninsured,Uninsured,Insured,4,Other,15,714,4835,21047,849,26,641,239,19,0
811,76641.0,11291.520000000002,15.0,28,Employed,Single,0,Master,Own,222,0.3640221841013781,13,6,0.1842429169909203,0,Debt Consolidation,0,0.1938247285609968,10,2953,2918,-4253,32483,4889,49000,72439,24395,10,140213,558,2605.2187963899128,6902,15074.75676594364,0.0027340956012312,Insured,Uninsured,Insured,Insured,1,Public,3,607,2712,26885,14,148,485,385,91,1
366,44160.0,28849.0,26.1,32,Self-Employed,Widowed,0,High School,Other,820,0.4131604142429091,14,3,0.082292203084026,0,Home,0,0.0880291642234841,17,10011,977,11887,27622,-2517,131925,61739,-10420,13,149777,1508,13220.0,6415,16610.0,0.7030135363538553,Uninsured,Uninsured,Uninsured,Uninsured,3,Self-Employed,11,606,8183,26034,146,291,203,168,87,0
367,44631.2,28888.0,8.1,46,Self-Employed,Divorced,1,High School,Mortgage,619,0.6284625199002267,2,2,0.2033414042167294,0,Auto,0,0.1182264374076492,0,2653,3285,12321,47551,3495,108618,52829,6346,24,175116,1026,1714.0,1074,6100.0,0.0240634284175822,Insured,Insured,Insured,Uninsured,3,Other,24,706,6763,21112,687,141,140,262,160,0
359,49205.600000000006,23667.0,4.5,46,Self-Employed,Single,2,Doctorate,Other,176,0.2247820975398222,12,1,0.6685907205818423,0,Other,0,0.1920359554038923,10,4823,-266,15117,25939,6289,83418,76488,-6762,10,175827,60,13076.0,4578,14200.0,0.2213192755371708,Uninsured,Uninsured,Uninsured,Uninsured,2,Self-Employed,15,472,3345,22762,859,232,760,66,79,0
406,46392.0,14435.0,6.3,49,Unemployed,Single,0,Doctorate,Rent,323,0.2136327577421268,11,5,0.4161624591926136,0,Other,0,0.284704799819186,25,6712,-104,11954,43512,1450,108081,81857,-16306,16,107516,1227,8754.0,7167,12471.0,0.6607503935853701,Uninsured,Uninsured,Insured,Uninsured,2,Private,10,777,5965,44571,1482,215,106,14,52,0
820,65990.0,19393.92,15.0,45,Self-Employed,Married,4,Master,Other,190,0.0363564991023583,4,3,0.1295034890070091,0,Other,0,0.1659070805164934,22,7361,1814,16250,33858,2876,57366,58394,7404,4,73093,1358,8264.780160883507,7252,9060.529959086038,0.9530225357066634,Uninsured,Insured,Insured,Uninsured,3,Public,26,738,8897,31371,938,102,455,233,49,1
415,48584.0,20230.0,4.5,36,Employed,Widowed,1,Master,Other,561,0.0152533423237692,6,5,0.2890186331252635,0,Auto,0,0.249852361747592,18,6028,3010,13128,27494,4378,28885,45469,8877,1,103413,630,6612.0,1895,10783.0,0.5343665031384189,Insured,Uninsured,Insured,Uninsured,3,Other,15,730,5254,15898,1112,183,334,80,67,0
421,61408.0,23716.0,13.5,50,Unemployed,Divorced,4,High School,Other,370,0.9231426155577566,12,9,0.8409320358551066,0,Home,0,0.1345774231428471,7,6811,1690,9253,34276,792,49939,71509,49548,10,136336,1136,12941.0,3348,24000.0,0.7650310647309122,Insured,Insured,Uninsured,Insured,3,Private,22,209,3192,38531,939,370,218,208,116,0
326,40682.4,21705.0,9.9,50,Unemployed,Single,1,High School,Mortgage,613,0.0618764872349703,1,0,0.992491393754084,0,Debt Consolidation,0,0.264577679673261,28,9758,1944,8729,41699,2440,97758,76446,56828,9,176368,753,9438.0,5921,22578.0,0.5157861632247052,Insured,Uninsured,Uninsured,Uninsured,4,Self-Employed,26,133,1974,8145,1843,184,339,187,141,0
356,42913.600000000006,18610.0,6.3,26,Self-Employed,Divorced,3,High School,Mortgage,506,0.1675177638728745,13,5,0.6308341224228164,0,Education,0,0.1381491979038629,13,5190,1906,11937,15359,416,44121,50058,44876,5,161032,1021,9780.0,6125,23166.0,0.1000511341938267,Insured,Uninsured,Uninsured,Insured,2,Other,3,488,4560,27050,655,221,771,239,219,0
596,75462.0,14854.4,15.0,41,Self-Employed,Single,1,Bachelor,Rent,546,0.1305185679909896,0,2,0.6224240331386365,0,Other,0,0.1931544912385001,15,2781,1804,12010,37366,2818,59245,3435,-19323,22,86676,646,6077.088488951116,6479,4594.998046756694,0.3556117915645159,Uninsured,Uninsured,Insured,Insured,3,Private,9,754,6610,30471,1338,5,608,8,-10,1
376,37978.4,23019.0,1.8,52,Self-Employed,Divorced,2,Master,Other,728,0.2932536006773141,1,8,0.0817252632968815,0,Other,0,0.1116110135846535,20,5399,1490,14399,20922,6623,44047,53825,49434,7,189412,929,13029.0,3687,19265.0,0.725344209197975,Uninsured,Insured,Insured,Insured,3,Other,5,555,9331,22627,1768,161,321,212,9,0
474,61804.8,23600.0,5.4,37,Employed,Married,2,Associate,Other,437,0.6352013328816762,0,6,0.7865092034699803,0,Home,0,0.2991216836715324,26,1874,2037,11418,31183,2093,158275,82508,50319,3,159888,621,10067.0,7726,16652.0,0.3906441354110634,Uninsured,Uninsured,Uninsured,Insured,1,Other,12,225,3937,33741,669,312,448,172,5,0
716,33142.4,21904.0,9.9,42,Employed,Married,4,Master,Mortgage,182,0.6225393865057623,5,6,0.3735697653501439,0,Home,0,0.2001672747950657,12,4643,1873,4521,30225,6238,130506,71147,5571,8,160893,670,13232.0,5095,30054.0,0.4999303725735461,Uninsured,Insured,Uninsured,Insured,1,Private,6,834,6621,41049,383,355,233,195,147,0
514,57553.0,10042.88,19.0,30,Self-Employed,Single,1,Bachelor,Mortgage,320,0.9698212572794044,8,9,0.7641056933842708,0,Other,0,0.0614259324565971,5,6954,1681,11451,14603,2600,109368,34718,59229,5,160965,631,9588.077840020052,697,24264.75285945703,0.9267167502156252,Insured,Uninsured,Insured,Insured,2,Private,7,533,4601,23228,137,319,220,22,137,1
335,48686.4,18067.0,12.6,47,Unemployed,Widowed,3,Doctorate,Other,311,0.49890926783489,2,7,0.1160558132649864,0,Debt Consolidation,0,0.0199366747850707,10,-132,1079,9207,36264,5146,61594,58732,74318,28,136054,638,7345.0,6654,15267.0,0.7996673309132023,Insured,Insured,Insured,Uninsured,3,Public,20,630,3494,21422,1029,-24,570,215,101,0
608,55886.0,10057.6,15.0,44,Self-Employed,Widowed,0,Associate,Mortgage,529,0.2461135426182746,14,0,0.2452628070551579,0,Education,0,0.0395311169405855,27,6688,-160,15572,-1451,5199,123816,24558,24570,26,52517,568,4839.553138081522,3875,14082.416340981565,0.9111477430164292,Insured,Uninsured,Insured,Uninsured,4,Private,24,212,5661,54056,1085,190,330,277,180,1
664,55198.0,5154.560000000001,13.0,49,Unemployed,Single,2,Doctorate,Other,517,0.3398230694183488,2,6,0.1400534446103766,0,Auto,0,0.104234233468229,25,5772,2303,15749,24941,2754,75730,-1711,17714,28,123043,1300,14732.312933786794,5162,1389.836448501187,0.3234743976232848,Insured,Insured,Uninsured,Insured,4,Public,14,760,8921,26331,528,100,234,273,129,1
427,68336.8,17209.0,16.2,27,Self-Employed,Married,3,High School,Mortgage,727,0.5658139341868227,4,5,0.2784943074969451,0,Home,0,0.2017674996644169,23,6980,-320,20445,28046,2986,118977,78655,74267,4,54941,1032,12697.0,3829,29263.0,0.6246180307864886,Insured,Insured,Insured,Insured,4,Private,5,550,5287,43269,921,149,75,99,111,0
565,80198.0,16631.680000000004,22.0,44,Self-Employed,Widowed,4,Associate,Own,325,0.8580244334387287,9,4,0.6124275321904258,0,Debt Consolidation,0,0.2604811562571968,19,1537,2582,11561,37867,924,266253,31227,2144,17,81050,1162,8354.3039947762,5074,8392.904595606615,0.8998599134112057,Insured,Uninsured,Uninsured,Insured,3,Self-Employed,15,316,3826,20186,414,307,417,255,86,1
575,64502.0,13620.480000000003,9.0,49,Self-Employed,Divorced,4,High School,Other,566,0.1493275205872762,10,5,0.7328413456478736,0,Other,0,0.1007517696743174,22,95,4126,9910,51235,3243,100855,27531,42497,15,118049,1295,5509.101139463855,2661,13680.72141578535,0.1606083567597739,Insured,Uninsured,Insured,Uninsured,1,Self-Employed,12,402,1729,32760,791,648,376,-15,51,1
365,46664.8,25317.0,3.6,36,Self-Employed,Married,2,Bachelor,Mortgage,168,0.64577838386092,14,9,0.1398899987222566,0,Auto,1,0.2620575428150093,12,4272,1700,11509,27504,3199,114302,42319,75819,0,175332,568,3593.0,5360,20837.0,0.4191985672985523,Insured,Uninsured,Uninsured,Insured,4,Private,4,348,4066,44904,736,335,564,173,88,0
322,52429.600000000006,14123.0,1.8,52,Self-Employed,Single,3,Bachelor,Rent,877,0.8900233813191777,0,3,0.5769718925255244,0,Other,0,0.1129985173570607,19,1105,1080,11593,-3802,3251,214582,39391,28757,20,146918,405,-2412.0,6780,15406.0,0.1082199618467186,Uninsured,Uninsured,Insured,Uninsured,0,Private,13,97,3337,29644,1158,162,676,106,137,0
480,84215.20000000001,12728.0,8.1,54,Unemployed,Married,2,Associate,Other,619,0.1509297573290778,13,8,0.5570648279230115,0,Other,0,0.0885748243559703,26,7060,2351,11788,37119,1619,131344,5636,50383,16,187245,1137,14623.0,5395,24995.0,0.0004849038207861,Insured,Insured,Insured,Insured,1,Public,13,289,7155,25252,1143,589,119,167,190,0
444,29303.2,26746.0,0.9,57,Self-Employed,Married,3,Master,Rent,1025,0.0544477363523185,11,5,0.295050675522439,0,Debt Consolidation,0,0.2315446776738158,6,9526,2358,13257,33091,412,148372,47567,34329,17,63362,1112,13255.0,3104,24340.0,0.8737209239360126,Uninsured,Uninsured,Insured,Uninsured,2,Self-Employed,26,988,1350,44770,1560,163,207,305,187,0
692,37642.4,21496.0,0.9,51,Unemployed,Married,4,Bachelor,Rent,249,0.5490738091036149,2,1,0.543664403008228,0,Debt Consolidation,1,0.0323756180661751,8,12064,2379,4805,31650,3054,45801,42809,17520,4,152045,865,-1324.0,4329,9671.0,0.12207335573868,Insured,Insured,Uninsured,Insured,1,Public,7,417,3114,22901,1673,170,48,225,136,0
438,32180.800000000003,23073.0,24.3,34,Unemployed,Married,1,High School,Mortgage,522,0.9038261549675805,14,5,0.9551913642717736,0,Other,0,0.0735025626229741,1,7249,2372,11476,9478,2725,45747,32334,71598,4,151543,704,4341.0,6221,6357.0,0.6559880675436471,Insured,Insured,Uninsured,Insured,1,Other,9,392,897,50116,898,524,716,274,61,0
737,54773.600000000006,20652.0,19.8,34,Employed,Widowed,2,Associate,Mortgage,667,0.1425197392529072,13,2,0.1525584975756558,0,Debt Consolidation,0,0.2434649843421169,8,8026,1875,4383,27846,4394,114557,18532,79533,8,159562,1070,10726.0,10485,3678.0,0.58946649056471,Insured,Insured,Uninsured,Insured,2,Self-Employed,15,627,5421,48649,503,191,449,-10,98,0
757,62512.0,33420.0,19.8,39,Employed,Widowed,0,High School,Mortgage,503,0.630655724078116,0,3,0.2714991631294496,0,Auto,0,0.0926043127673494,3,4024,974,11459,24835,3176,147161,69835,38683,6,149680,838,11814.0,6352,6751.0,0.0961727294519871,Uninsured,Uninsured,Uninsured,Uninsured,1,Self-Employed,16,56,3323,22571,319,202,94,96,24,0
484,47594.4,18418.0,13.5,35,Employed,Widowed,1,Doctorate,Mortgage,825,0.4127643377899693,1,0,0.7931596309321483,0,Education,0,0.1916166056132834,11,7741,1774,-581,33860,1157,90548,25173,41538,1,117250,1081,12625.0,3693,35328.0,0.1123652341115275,Insured,Insured,Uninsured,Uninsured,3,Public,15,185,4548,33279,860,102,340,169,155,0
743,35142.4,13529.0,1.8,58,Employed,Single,1,Associate,Other,584,0.0144418516869165,12,4,0.566843946309932,0,Auto,0,0.136225013413582,22,6908,4217,13906,7521,5726,45229,37371,35657,27,183327,822,6676.0,7092,17467.0,0.7337142224445553,Uninsured,Uninsured,Uninsured,Insured,1,Public,20,546,3570,50458,1250,357,574,246,92,0
481,44655.2,19429.0,6.3,38,Self-Employed,Single,2,Associate,Other,475,0.6075182491753292,6,6,0.2263584276143448,0,Auto,0,0.028345241089561,20,4892,2288,9120,29433,4174,114400,64893,68479,1,156145,1316,13227.0,5484,29119.0,0.7672376603430014,Uninsured,Uninsured,Uninsured,Uninsured,1,Private,13,606,3921,42986,693,116,406,182,78,0
303,53902.4,14949.0,6.3,51,Employed,Divorced,4,High School,Rent,-47,0.5890079023059166,14,7,0.7382397725610351,0,Home,1,0.086996152887471,9,1712,2807,7627,41805,1150,135056,39728,62809,7,22047,908,7248.0,6169,3031.0,0.0335250846456146,Uninsured,Insured,Insured,Uninsured,2,Private,32,24,5103,29991,1389,144,287,182,143,0
680,17569.600000000002,18690.0,9.9,52,Employed,Divorced,1,Bachelor,Other,262,0.3911595304635855,13,7,0.5816450652883828,0,Auto,0,0.2611557762653495,29,4260,1055,3942,39372,1803,172451,62193,55558,25,119599,674,7837.0,5199,12386.0,0.0529010736960479,Insured,Insured,Uninsured,Uninsured,3,Self-Employed,11,967,4759,35663,1149,469,286,63,177,0
718,40026.4,29952.0,4.5,38,Self-Employed,Married,2,Doctorate,Mortgage,183,0.7602872866446844,13,1,0.495597363133519,0,Education,0,0.0840822281748738,26,-850,1728,9751,25381,4388,65041,51738,58956,3,46220,830,7671.0,3414,7936.0,0.3079606721586381,Uninsured,Insured,Uninsured,Uninsured,3,Self-Employed,20,458,812,18354,1255,24,827,67,73,0
324,50432.0,24628.0,9.0,34,Unemployed,Married,1,Associate,Rent,616,0.6586166674349967,3,9,0.6692519441850335,0,Other,0,0.0659489301298847,23,8384,1791,2054,16978,5468,140660,47757,72354,5,233836,689,9275.0,6296,21000.0,0.4786024909422529,Uninsured,Insured,Insured,Insured,4,Other,0,857,1170,20466,1063,294,583,329,0,0
655,63649.0,10935.68,25.0,39,Unemployed,Married,3,Associate,Other,386,0.1739606946458928,4,5,0.3793954893064618,0,Debt Consolidation,0,0.2684264795237506,1,4518,3260,17321,27637,2167,3613,25555,22063,8,147573,1269,5176.584042148135,4136,18571.04221242497,0.2873278809714078,Uninsured,Uninsured,Uninsured,Insured,4,Self-Employed,18,587,5298,47395,1221,370,319,155,53,1
590,44899.2,21775.0,0.9,41,Self-Employed,Divorced,2,Doctorate,Own,417,0.2349475110415134,4,8,0.196570472126584,0,Debt Consolidation,1,0.2919191425996092,7,7419,1630,6899,39405,1487,62646,71291,74367,2,144537,732,16907.0,5365,15102.0,0.5479019925532106,Insured,Insured,Uninsured,Uninsured,2,Private,20,591,4882,32264,860,405,577,216,148,0
586,39442.4,23715.0,6.3,52,Self-Employed,Widowed,0,High School,Own,450,0.0535099455728098,14,4,0.4428374105882068,0,Other,0,0.0601629515546861,13,6428,2261,12514,36138,4146,152227,47506,17760,19,180299,1710,10123.0,2460,10909.0,0.5106611057655682,Uninsured,Uninsured,Insured,Uninsured,4,Self-Employed,26,516,695,22851,768,261,160,293,19,0
690,58551.2,28295.0,0.9,57,Unemployed,Divorced,1,Master,Mortgage,652,0.1579253107445725,14,8,0.8577203396249837,0,Debt Consolidation,0,0.1805235747487228,27,3711,444,11098,1434,2068,119107,34053,43241,19,201983,897,9987.0,5286,24153.0,0.3830620279704525,Uninsured,Insured,Uninsured,Uninsured,2,Other,13,919,5556,18139,1334,27,117,270,196,0
311,46609.600000000006,34029.0,6.3,57,Employed,Single,1,Master,Other,740,0.4713710855550124,11,2,0.9364763206955772,0,Debt Consolidation,0,0.186963972446678,25,12251,3239,11749,39136,3234,110916,49197,22839,12,113993,669,15457.0,6189,17266.0,0.0446112478980764,Insured,Insured,Uninsured,Uninsured,3,Self-Employed,11,533,4517,28324,1260,436,362,156,150,0
306,43088.0,19437.0,9.9,27,Self-Employed,Married,0,High School,Own,682,0.3745747714912497,10,7,0.8561375301153422,0,Education,0,0.0266809962501831,4,5739,3212,16062,30029,6207,77763,47408,71016,0,101789,1216,8267.0,6711,20225.0,0.3149419408348779,Uninsured,Insured,Insured,Uninsured,3,Other,4,669,9368,40523,855,99,254,115,159,0
