CreditScore,JobTenure,EmploymentStatus,TotalLiabilities,PaymentHistory,TotalAssets,LoanAmount,BankruptcyHistory,SavingsAccountBalance,InterestRate,DebtToIncomeRatio,HomeOwnershipStatus,CheckingAccountBalance,AnnualIncome,CreditCardUtilizationRate,NumberOfCreditInquiries,EducationLevel,MaritalStatus,NumberOfDependents,PreviousLoanDefaults,MonthlyDebtPayments,Age,LengthOfCreditHistory,UtilityBillsPaymentHistory,NetWorth,NumberOfOpenCreditLines,LoanApproved,LoanDuration,LoanPurpose
686,7,Unemployed,76804,13,96280,15340.0,0,7248,0.03894522828692,0.365334618743624,Rent,182,42896.0,0.3124173804400376,5,Associate,Widowed,2,0,667,28,5,0.326706730358647,100117,3,0,25.2,Other
507,6,Self-Employed,47285,16,2821,9205.12,0,3009,0.2073968839964055,0.7066874740829998,Mortgage,1442,42820.0,0.115443689018285,1,High School,Widowed,4,0,409,48,7,0.8824201080461508,77945,4,1,3.0,Other
387,4,Unemployed,79463,12,74467,18495.0,0,5087,0.2735924576006897,0.4777345140567446,Mortgage,3444,32049.6,0.8056263528435875,9,Doctorate,Married,2,1,266,48,20,0.1757592899625609,141585,5,0,0.9,Other
560,12,Self-Employed,49555,29,207173,20616.0,0,5346,0.18971179987654,0.7785525332594729,Mortgage,2152,45796.8,0.262689657779098,5,High School,Single,1,0,222,34,5,0.7039168919434743,42798,10,0,25.2,Other
784,0,Employed,93515,19,79599,11765.760000000002,0,3804,0.0601838010454814,0.7031651821700624,Other,1522,78985.0,0.3158972178034891,8,Master,Divorced,3,0,441,32,4,0.2483718893567018,15432,4,1,25.0,Auto
459,4,Self-Employed,59035,28,178526,22260.0,0,9109,0.2526111974859997,0.8456052545128059,Other,3648,42822.4,0.9115495558194509,2,High School,Widowed,2,0,319,28,5,0.2573757615366768,133271,13,0,8.1,Auto
570,3,Self-Employed,50424,2,104908,17102.72,0,6183,0.0945772009328846,0.5191990051882945,Other,1454,62075.0,0.0955883533840856,0,Master,Divorced,4,0,776,52,5,0.2229600353665951,45118,11,1,15.0,Home
382,15,Employed,72853,3,144538,22112.0,0,10548,0.0451475390327397,0.1881289030381923,Other,3290,56595.2,0.9369865463572364,9,High School,Widowed,2,0,452,42,23,0.3145425516875679,55819,11,0,1.8,Auto
811,3,Employed,72439,10,49000,11291.520000000002,0,2953,0.1938247285609968,0.1842429169909203,Own,2918,76641.0,0.3640221841013781,6,Master,Single,0,0,222,28,10,0.0027340956012312,24395,13,1,15.0,Debt Consolidation
366,11,Self-Employed,61739,17,131925,28849.0,0,10011,0.0880291642234841,0.082292203084026,Other,977,44160.0,0.4131604142429091,3,High School,Widowed,0,0,820,32,13,0.7030135363538553,-10420,14,0,26.1,Home
367,24,Self-Employed,52829,0,108618,28888.0,0,2653,0.1182264374076492,0.2033414042167294,Mortgage,3285,44631.2,0.6284625199002267,2,High School,Divorced,1,0,619,46,24,0.0240634284175822,6346,2,0,8.1,Auto
359,15,Self-Employed,76488,10,83418,23667.0,0,4823,0.1920359554038923,0.6685907205818423,Other,-266,49205.600000000006,0.2247820975398222,1,Doctorate,Single,2,0,176,46,10,0.2213192755371708,-6762,12,0,4.5,Other
406,10,Unemployed,81857,25,108081,14435.0,0,6712,0.284704799819186,0.4161624591926136,Rent,-104,46392.0,0.2136327577421268,5,Doctorate,Single,0,0,323,49,16,0.6607503935853701,-16306,11,0,6.3,Other
820,26,Self-Employed,58394,22,57366,19393.92,0,7361,0.1659070805164934,0.1295034890070091,Other,1814,65990.0,0.0363564991023583,3,Master,Married,4,0,190,45,4,0.9530225357066634,7404,4,1,15.0,Other
415,15,Employed,45469,18,28885,20230.0,0,6028,0.249852361747592,0.2890186331252635,Other,3010,48584.0,0.0152533423237692,5,Master,Widowed,1,0,561,36,1,0.5343665031384189,8877,6,0,4.5,Auto
421,22,Unemployed,71509,7,49939,23716.0,0,6811,0.1345774231428471,0.8409320358551066,Other,1690,61408.0,0.9231426155577566,9,High School,Divorced,4,0,370,50,10,0.7650310647309122,49548,12,0,13.5,Home
326,26,Unemployed,76446,28,97758,21705.0,0,9758,0.264577679673261,0.992491393754084,Mortgage,1944,40682.4,0.0618764872349703,0,High School,Single,1,0,613,50,9,0.5157861632247052,56828,1,0,9.9,Debt Consolidation
356,3,Self-Employed,50058,13,44121,18610.0,0,5190,0.1381491979038629,0.6308341224228164,Mortgage,1906,42913.600000000006,0.1675177638728745,5,High School,Divorced,3,0,506,26,5,0.1000511341938267,44876,13,0,6.3,Education
596,9,Self-Employed,3435,15,59245,14854.4,0,2781,0.1931544912385001,0.6224240331386365,Rent,1804,75462.0,0.1305185679909896,2,Bachelor,Single,1,0,546,41,22,0.3556117915645159,-19323,0,1,15.0,Other
376,5,Self-Employed,53825,20,44047,23019.0,0,5399,0.1116110135846535,0.0817252632968815,Other,1490,37978.4,0.2932536006773141,8,Master,Divorced,2,0,728,52,7,0.725344209197975,49434,1,0,1.8,Other
474,12,Employed,82508,26,158275,23600.0,0,1874,0.2991216836715324,0.7865092034699803,Other,2037,61804.8,0.6352013328816762,6,Associate,Married,2,0,437,37,3,0.3906441354110634,50319,0,0,5.4,Home
716,6,Employed,71147,12,130506,21904.0,0,4643,0.2001672747950657,0.3735697653501439,Mortgage,1873,33142.4,0.6225393865057623,6,Master,Married,4,0,182,42,8,0.4999303725735461,5571,5,0,9.9,Home
514,7,Self-Employed,34718,5,109368,10042.88,0,6954,0.0614259324565971,0.7641056933842708,Mortgage,1681,57553.0,0.9698212572794044,9,Bachelor,Single,1,0,320,30,5,0.9267167502156252,59229,8,1,19.0,Other
335,20,Unemployed,58732,10,61594,18067.0,0,-132,0.0199366747850707,0.1160558132649864,Other,1079,48686.4,0.49890926783489,7,Doctorate,Widowed,3,0,311,47,28,0.7996673309132023,74318,2,0,12.6,Debt Consolidation
608,24,Self-Employed,24558,27,123816,10057.6,0,6688,0.0395311169405855,0.2452628070551579,Mortgage,-160,55886.0,0.2461135426182746,0,Associate,Widowed,0,0,529,44,26,0.9111477430164292,24570,14,1,15.0,Education
664,14,Unemployed,-1711,25,75730,5154.560000000001,0,5772,0.104234233468229,0.1400534446103766,Other,2303,55198.0,0.3398230694183488,6,Doctorate,Single,2,0,517,49,28,0.3234743976232848,17714,2,1,13.0,Auto
427,5,Self-Employed,78655,23,118977,17209.0,0,6980,0.2017674996644169,0.2784943074969451,Mortgage,-320,68336.8,0.5658139341868227,5,High School,Married,3,0,727,27,4,0.6246180307864886,74267,4,0,16.2,Home
565,15,Self-Employed,31227,19,266253,16631.680000000004,0,1537,0.2604811562571968,0.6124275321904258,Own,2582,80198.0,0.8580244334387287,4,Associate,Widowed,4,0,325,44,17,0.8998599134112057,2144,9,1,22.0,Debt Consolidation
575,12,Self-Employed,27531,22,100855,13620.480000000003,0,95,0.1007517696743174,0.7328413456478736,Other,4126,64502.0,0.1493275205872762,5,High School,Divorced,4,0,566,49,15,0.1606083567597739,42497,10,1,9.0,Other
365,4,Self-Employed,42319,12,114302,25317.0,0,4272,0.2620575428150093,0.1398899987222566,Mortgage,1700,46664.8,0.64577838386092,9,Bachelor,Married,2,1,168,36,0,0.4191985672985523,75819,14,0,3.6,Auto
322,13,Self-Employed,39391,19,214582,14123.0,0,1105,0.1129985173570607,0.5769718925255244,Rent,1080,52429.600000000006,0.8900233813191777,3,Bachelor,Single,3,0,877,52,20,0.1082199618467186,28757,0,0,1.8,Other
480,13,Unemployed,5636,26,131344,12728.0,0,7060,0.0885748243559703,0.5570648279230115,Other,2351,84215.20000000001,0.1509297573290778,8,Associate,Married,2,0,619,54,16,0.0004849038207861,50383,13,0,8.1,Other
444,26,Self-Employed,47567,6,148372,26746.0,0,9526,0.2315446776738158,0.295050675522439,Rent,2358,29303.2,0.0544477363523185,5,Master,Married,3,0,1025,57,17,0.8737209239360126,34329,11,0,0.9,Debt Consolidation
692,7,Unemployed,42809,8,45801,21496.0,0,12064,0.0323756180661751,0.543664403008228,Rent,2379,37642.4,0.5490738091036149,1,Bachelor,Married,4,1,249,51,4,0.12207335573868,17520,2,0,0.9,Debt Consolidation
438,9,Unemployed,32334,1,45747,23073.0,0,7249,0.0735025626229741,0.9551913642717736,Mortgage,2372,32180.800000000003,0.9038261549675805,5,High School,Married,1,0,522,34,4,0.6559880675436471,71598,14,0,24.3,Other
737,15,Employed,18532,8,114557,20652.0,0,8026,0.2434649843421169,0.1525584975756558,Mortgage,1875,54773.600000000006,0.1425197392529072,2,Associate,Widowed,2,0,667,34,8,0.58946649056471,79533,13,0,19.8,Debt Consolidation
757,16,Employed,69835,3,147161,33420.0,0,4024,0.0926043127673494,0.2714991631294496,Mortgage,974,62512.0,0.630655724078116,3,High School,Widowed,0,0,503,39,6,0.0961727294519871,38683,0,0,19.8,Auto
484,15,Employed,25173,11,90548,18418.0,0,7741,0.1916166056132834,0.7931596309321483,Mortgage,1774,47594.4,0.4127643377899693,0,Doctorate,Widowed,1,0,825,35,1,0.1123652341115275,41538,1,0,13.5,Education
743,20,Employed,37371,22,45229,13529.0,0,6908,0.136225013413582,0.566843946309932,Other,4217,35142.4,0.0144418516869165,4,Associate,Single,1,0,584,58,27,0.7337142224445553,35657,12,0,1.8,Auto
481,13,Self-Employed,64893,20,114400,19429.0,0,4892,0.028345241089561,0.2263584276143448,Other,2288,44655.2,0.6075182491753292,6,Associate,Single,2,0,475,38,1,0.7672376603430014,68479,6,0,6.3,Auto
303,32,Employed,39728,9,135056,14949.0,0,1712,0.086996152887471,0.7382397725610351,Rent,2807,53902.4,0.5890079023059166,7,High School,Divorced,4,1,-47,51,7,0.0335250846456146,62809,14,0,6.3,Home
680,11,Employed,62193,29,172451,18690.0,0,4260,0.2611557762653495,0.5816450652883828,Other,1055,17569.600000000002,0.3911595304635855,7,Bachelor,Divorced,1,0,262,52,25,0.0529010736960479,55558,13,0,9.9,Auto
718,20,Self-Employed,51738,26,65041,29952.0,0,-850,0.0840822281748738,0.495597363133519,Mortgage,1728,40026.4,0.7602872866446844,1,Doctorate,Married,2,0,183,38,3,0.3079606721586381,58956,13,0,4.5,Education
324,0,Unemployed,47757,23,140660,24628.0,0,8384,0.0659489301298847,0.6692519441850335,Rent,1791,50432.0,0.6586166674349967,9,Associate,Married,1,0,616,34,5,0.4786024909422529,72354,3,0,9.0,Other
655,18,Unemployed,25555,1,3613,10935.68,0,4518,0.2684264795237506,0.3793954893064618,Other,3260,63649.0,0.1739606946458928,5,Associate,Married,3,0,386,39,8,0.2873278809714078,22063,4,1,25.0,Debt Consolidation
590,20,Self-Employed,71291,7,62646,21775.0,0,7419,0.2919191425996092,0.196570472126584,Own,1630,44899.2,0.2349475110415134,8,Doctorate,Divorced,2,1,417,41,2,0.5479019925532106,74367,4,0,0.9,Debt Consolidation
586,26,Self-Employed,47506,13,152227,23715.0,0,6428,0.0601629515546861,0.4428374105882068,Own,2261,39442.4,0.0535099455728098,4,High School,Widowed,0,0,450,52,19,0.5106611057655682,17760,14,0,6.3,Other
690,13,Unemployed,34053,27,119107,28295.0,0,3711,0.1805235747487228,0.8577203396249837,Mortgage,444,58551.2,0.1579253107445725,8,Master,Divorced,1,0,652,57,19,0.3830620279704525,43241,14,0,0.9,Debt Consolidation
311,11,Employed,49197,25,110916,34029.0,0,12251,0.186963972446678,0.9364763206955772,Other,3239,46609.600000000006,0.4713710855550124,2,Master,Single,1,0,740,57,12,0.0446112478980764,22839,11,0,6.3,Debt Consolidation
306,4,Self-Employed,47408,4,77763,19437.0,0,5739,0.0266809962501831,0.8561375301153422,Own,3212,43088.0,0.3745747714912497,7,High School,Married,0,0,682,27,0,0.3149419408348779,71016,10,0,9.9,Education
809,0,Self-Employed,42057,12,87553,10705.920000000002,0,10032,0.2152713174576088,0.3734341551196892,Other,996,55700.0,0.844647758597167,7,Doctorate,Single,3,0,488,34,16,0.2253575122036385,20234,4,1,19.0,Debt Consolidation
670,8,Self-Employed,2721,29,147653,24207.0,0,4228,0.2660341124187738,0.7480284762043278,Rent,1337,32711.2,0.5964578438995253,1,High School,Married,4,0,994,39,2,0.335106962457976,18278,11,0,13.5,Other
339,12,Employed,59460,5,69968,11341.0,0,5004,0.0481191712931639,0.2006898747700529,Mortgage,2822,38659.2,0.7654996855161366,3,Bachelor,Married,2,0,328,56,13,0.8113025900064973,111367,12,0,6.3,Home
625,29,Self-Employed,31644,7,32681,27189.0,0,4049,0.1527978734736881,0.3382221495385272,Other,1528,48833.600000000006,0.3148950423834548,8,Master,Married,0,0,559,55,16,0.9929632436191782,85131,1,0,9.0,Other
637,30,Employed,240,0,75676,11204.48,0,-1693,0.1105691885360952,0.7270172575068672,Mortgage,808,36786.0,0.8464204668229947,3,Master,Single,4,0,502,53,14,0.914831129416892,45087,3,1,6.0,Debt Consolidation
417,10,Unemployed,65869,25,43777,22724.0,0,6945,0.2540074077062625,0.8585591895665583,Other,2875,61827.2,0.5702003322596747,8,Associate,Single,0,0,474,52,4,0.4911736102688506,37266,5,0,1.8,Home
458,14,Employed,70533,21,76290,13116.0,0,5446,0.2530904702941539,0.152799150416577,Other,1830,49493.600000000006,0.0495962080510756,7,Master,Divorced,3,0,537,45,13,0.8991522221954787,24423,14,0,12.6,Other
380,13,Unemployed,33475,9,153944,16926.0,0,4163,0.0287714882755605,0.1264306253245041,Mortgage,4019,63285.600000000006,0.8074554714119226,2,Master,Single,0,0,472,51,12,0.9568667931809464,5768,7,0,1.8,Auto
332,24,Unemployed,55179,21,80552,20710.0,0,3719,0.1207345824269214,0.7564827952854392,Rent,1740,59600.8,0.9018326568503257,7,Associate,Divorced,0,0,196,52,10,0.0110872960821595,44476,10,0,10.8,Debt Consolidation
308,21,Self-Employed,38297,20,130729,14450.0,0,-2005,0.2323215137270528,0.7572988981713261,Other,2052,85274.40000000001,0.2119060925644211,0,High School,Widowed,2,0,581,47,17,0.4021218700116217,44072,4,0,6.3,Home
559,27,Unemployed,50775,19,137959,23269.0,0,657,0.0429776778301626,0.8197055252435846,Other,1262,54228.8,0.9578957509805112,0,Bachelor,Widowed,3,0,371,58,28,0.5606352499161551,77045,13,0,3.6,Other
550,2,Self-Employed,49091,19,36357,17398.0,0,8398,0.1073815399771373,0.1210072300897986,Own,1555,34088.0,0.6981872506536885,2,High School,Single,3,0,122,48,26,0.2835241247944118,17592,2,0,7.2,Other
573,20,Employed,5409,19,160308,13499.520000000002,0,823,0.076399683740937,0.3554090385822613,Other,2964,66125.0,0.9003101691263913,7,High School,Married,4,0,462,46,26,0.2576999378920165,23885,8,1,10.0,Other
406,1,Employed,52555,22,87307,16575.0,0,2242,0.1230283030196093,0.2469819205531068,Rent,249,45431.2,0.7117219054452697,3,Associate,Married,0,0,623,26,8,0.5669770500129856,42822,2,0,9.0,Education
431,15,Unemployed,29734,8,98663,20169.0,0,7821,0.2520031670456785,0.7088749454825161,Rent,2764,56406.4,0.4642261281953944,0,Master,Widowed,2,0,609,44,7,0.4724797245164907,52439,7,0,7.2,Home
601,13,Employed,-11327,29,163365,8131.200000000001,0,1977,0.0642031984717792,0.1074812179043442,Other,-90,45803.0,0.6434585031926768,8,High School,Widowed,3,0,722,31,2,0.2422387769242194,137020,12,1,18.0,Other
685,25,Self-Employed,4437,14,106723,7967.360000000001,0,7062,0.2810111803817434,0.7059058632704065,Other,3193,74129.0,0.2946267812006967,2,Bachelor,Married,2,0,381,45,20,0.1192904822422457,74394,4,1,8.0,Auto
595,1,Employed,23484,1,97690,15853.440000000002,0,6775,0.08012928113862,0.5278196152587192,Rent,2749,55005.0,0.3618864480758388,9,Doctorate,Divorced,2,0,312,38,0,0.2554038815102655,16636,6,1,9.0,Education
431,5,Self-Employed,39300,19,83977,22512.0,0,3544,0.0642939553430821,0.732717771370904,Other,1722,57722.4,0.4951451300767978,0,Master,Married,1,0,248,30,8,0.3004808143403651,62830,8,0,18.9,Debt Consolidation
555,36,Employed,12914,3,120014,11987.840000000002,0,6150,0.0500492989067551,0.6936766783865861,Other,1448,70962.0,0.4944503091610248,3,Bachelor,Married,3,0,556,58,11,0.1267861190002448,16364,1,1,9.0,Home
655,13,Self-Employed,33589,6,101722,18432.0,0,8432,0.0208456504234113,0.8126764947801108,Own,481,38524.0,0.6413242652942731,6,High School,Widowed,0,0,566,32,13,0.4844356099621036,72790,9,0,2.7,Auto
646,25,Unemployed,37057,18,86858,13986.56,0,7684,0.2349987064028618,0.0222102455274236,Mortgage,416,62284.0,0.7935522039513845,9,Associate,Widowed,4,0,695,51,4,0.4398278841979278,-4653,8,1,7.0,Debt Consolidation
703,14,Self-Employed,75561,29,71214,23310.0,0,2719,0.1528807117330742,0.6790090327551265,Other,1912,41805.600000000006,0.6557697091425795,3,Master,Divorced,0,0,332,49,19,0.5766375948031592,83636,12,0,3.6,Home
668,3,Employed,18475,24,144016,15432.320000000002,0,-872,0.0257063634457626,0.7625129048359202,Other,1430,34771.0,0.9724713210533728,2,High School,Widowed,0,0,706,29,8,0.043630446170003,53472,12,1,23.0,Auto
517,12,Self-Employed,67960,9,96707,22530.0,0,6058,0.2879410296355458,0.3470633469292865,Other,2166,44058.4,0.0381291160408844,7,Master,Married,1,0,137,49,22,0.1523313604063811,-4413,9,0,9.0,Home
579,6,Employed,84760,16,146351,14282.0,0,-1632,0.1312318043335727,0.8049660323173464,Mortgage,227,35052.8,0.9788471078150768,8,Doctorate,Single,1,0,348,48,14,0.7042102615716072,35419,9,0,2.7,Other
350,34,Self-Employed,19966,7,30332,19502.0,0,8136,0.1730770134221018,0.8648943698457914,Mortgage,1092,25512.0,0.6900153922922456,0,High School,Widowed,0,0,442,60,9,0.3924475752878913,43087,7,0,1.8,Debt Consolidation
610,22,Employed,48273,11,177907,27638.0,0,4956,0.2670166945242035,0.7092910711999104,Mortgage,3164,41252.8,0.5373235758148132,5,Bachelor,Divorced,2,0,790,44,8,0.3812964667648608,33714,8,0,15.3,Auto
652,20,Self-Employed,59891,11,52625,12785.0,0,1311,0.0918164712336674,0.4304776827138282,Own,2144,50073.600000000006,0.1085474520478499,3,High School,Widowed,0,1,546,52,22,0.8090432065471296,27627,13,0,9.9,Home
528,20,Self-Employed,34807,7,53629,15287.04,0,7838,0.0593552840082543,0.4907514967364009,Other,1864,68186.0,0.7461333717127909,6,High School,Widowed,3,0,567,40,1,0.2929130342246984,507,12,1,25.0,Other
722,25,Unemployed,30373,5,89995,11353.6,0,7832,0.2381992724854167,0.3023744367537649,Mortgage,3005,37917.0,0.1259715627593771,3,High School,Divorced,4,0,343,47,17,0.537821949361779,80770,6,1,6.0,Other
682,13,Unemployed,46943,2,63429,27555.0,1,2327,0.1975790571799162,0.8372599861314243,Own,2392,66836.0,0.5888367560719023,2,Associate,Widowed,1,0,907,46,16,0.3633363144396206,86340,8,0,4.5,Auto
330,29,Unemployed,76252,19,126700,25216.0,0,9786,0.0608697031232053,0.3311967968242231,Other,74,40524.0,0.7532814861862228,8,Associate,Widowed,1,0,636,48,3,0.6080493955667334,-5238,1,0,8.1,Other
392,30,Self-Employed,70458,26,97241,20124.0,0,3021,0.0501531400975343,0.3427996612622757,Own,2257,56560.8,0.1946986242675945,6,Bachelor,Married,0,0,678,52,25,0.6286311470911589,62694,10,0,2.7,Debt Consolidation
724,27,Unemployed,24409,25,108318,13516.8,0,11454,0.2791072072777255,0.4117456558895168,Mortgage,805,64897.0,0.5147782870106794,9,Master,Single,2,0,493,55,0,0.1739363570332481,56259,1,1,5.0,Home
586,12,Self-Employed,34673,26,112109,8846.720000000001,0,3433,0.2230097941149752,0.2209654720221758,Own,1065,63945.0,0.3949570601614991,6,Associate,Divorced,3,0,487,38,6,0.0697018537626733,99744,7,1,9.0,Education
794,1,Employed,16822,25,84073,14978.56,0,2623,0.1614676889615495,0.3092625485953915,Other,2062,65854.0,0.7351652092728642,2,Associate,Widowed,3,0,925,49,8,0.911735671384465,76324,4,1,15.0,Debt Consolidation
493,3,Unemployed,50077,14,74111,21325.0,0,1022,0.165586107858522,0.820743593973168,Mortgage,2420,47567.2,0.7901408113306498,3,Bachelor,Divorced,3,0,398,42,11,0.9570405923335716,65552,13,0,0.9,Auto
577,10,Employed,57786,29,140572,15423.36,0,11104,0.0579548409350535,0.3355332602712335,Own,3564,54439.0,0.901908955954322,2,High School,Widowed,0,0,305,51,10,0.4650294466047013,2342,2,1,9.0,Home
649,21,Unemployed,-4886,1,129638,12641.920000000002,0,5845,0.0294503608077466,0.505452106540205,Mortgage,1578,62643.0,0.4894492566655377,4,High School,Single,4,0,460,50,23,0.8365032694386644,60142,10,1,8.0,Other
836,17,Employed,10923,4,110360,15980.8,0,2864,0.2524084320508729,0.3702152568169664,Other,3063,74472.0,0.3300503044086335,8,Bachelor,Divorced,2,0,278,51,5,0.0458233294723048,24249,3,1,16.0,Debt Consolidation
769,13,Employed,58199,11,87090,13846.4,0,3589,0.1574892801869087,0.3582200419157677,Mortgage,2448,38621.0,0.9177529244088912,9,Associate,Widowed,4,0,381,51,15,0.800762000211059,74565,10,1,16.0,Other
604,10,Self-Employed,9677,22,97593,17902.72,0,1686,0.2587790039188104,0.5229545608124364,Other,3714,82777.0,0.184022059682658,0,High School,Divorced,3,0,607,61,25,0.49285728704121,75596,7,1,4.0,Other
487,28,Unemployed,40796,20,75999,19114.0,0,7525,0.2406400416882816,0.5732766781078712,Rent,3033,25111.2,0.4929227413319254,6,Associate,Widowed,3,0,629,52,21,0.7209214769189841,-8977,14,0,7.2,Auto
786,12,Employed,35266,14,89173,14793.6,0,5176,0.1629141905888732,0.0484541487688429,Other,1096,73068.0,0.4356072036903269,6,Bachelor,Married,4,0,842,48,9,0.2280935995594255,51898,12,1,4.0,Other
614,38,Self-Employed,20250,20,81384,18259.840000000004,0,886,0.0816671482630157,0.5084528858130329,Mortgage,2637,78840.0,0.285260961725831,9,Doctorate,Married,0,0,341,59,17,0.5666067891829992,62600,11,1,4.0,Debt Consolidation
650,21,Unemployed,80413,15,16275,25926.0,0,6527,0.2338322265961067,0.953603144069849,Mortgage,1369,55456.0,0.1195447415657597,9,Doctorate,Divorced,4,0,789,43,16,0.7809254878094795,50270,3,0,11.7,Auto
623,6,Self-Employed,67481,17,141193,16595.0,0,5093,0.0111947834456206,0.8305090705103648,Own,1615,46764.0,0.3362144458038537,8,Master,Widowed,1,0,507,30,11,0.792198253895944,15667,9,0,19.8,Debt Consolidation
341,12,Unemployed,55588,0,73368,19642.0,0,4831,0.1785818723687775,0.2364077849840982,Mortgage,1246,22824.0,0.8038078546143151,3,High School,Single,4,0,705,46,26,0.1482253615606618,15248,10,0,12.6,Auto
688,17,Self-Employed,34961,15,13174,22750.0,0,3102,0.0624982164679342,0.6744627012053385,Mortgage,3552,53608.0,0.093194027728517,9,Associate,Married,0,0,540,43,17,0.7189127434306402,15382,2,0,13.5,Other
722,18,Self-Employed,46182,14,72151,27207.0,0,5372,0.0225357180930302,0.59076749259835,Mortgage,3231,48116.0,0.7055093826371178,6,High School,Married,0,0,166,42,15,0.8287172451607595,14903,0,0,19.8,Auto
