,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,LengthOfCreditHistory
83,3,1,2,739,0.1875690831238797,13,0,0,0,15,13287,2833,91986,65829,28
84,2,1,2,87,0.0445875005312249,10,0,1,0,21,5292,1841,119842,39952,3
85,0,3,2,573,0.2682559358472419,2,0,4,0,8,4544,2482,102186,22831,25
86,1,1,1,374,0.4407894100816378,2,0,1,0,17,4631,8306,47471,43704,20
87,1,0,0,289,0.1120609673006735,6,0,3,0,24,3818,2328,24910,38366,19
88,3,2,1,567,0.5077865757286314,6,0,1,0,23,2571,2506,155815,23306,4
89,2,3,0,748,0.2043913788807797,11,0,4,0,16,4009,2133,45168,39777,0
90,0,1,0,560,0.453973964571248,2,0,1,1,24,2335,916,25707,24885,18
91,2,2,1,637,0.1345477111789549,14,0,4,0,26,3360,431,96984,40519,12
92,0,0,3,593,0.2766030267468546,3,0,4,0,41,538,525,105892,85324,22
93,2,0,0,551,0.8729161376723639,11,0,0,0,20,620,1769,60906,3877,14
94,0,0,0,626,0.0293734521183991,14,0,4,0,27,7165,2563,39270,65376,25
95,2,0,0,279,0.6574580769910363,10,0,4,0,19,10561,2217,1328,32240,8
96,3,1,0,470,0.2975105122388619,7,0,4,0,15,6744,2964,146903,70080,4
97,2,2,1,124,0.4215572415972488,1,0,1,0,5,663,1266,107338,22945,11
98,0,4,1,548,0.0548601140667702,2,0,4,0,13,6099,863,45968,31738,6
99,3,0,3,414,0.0389017446276106,3,0,1,0,27,13517,500,26370,20472,10
100,2,1,2,302,0.2930895540461071,2,0,2,0,28,2022,370,307985,5584,13
101,0,4,0,567,0.2333010621225357,12,0,1,0,20,2094,3730,70011,52275,28
102,3,1,3,463,0.137444640664506,3,0,0,0,29,7038,1581,85049,49691,3
103,3,2,0,258,0.334875156715657,12,0,4,0,5,7277,2865,123056,60709,2
104,2,3,0,174,0.3523375737900653,6,0,1,0,31,10990,742,43194,46776,4
105,1,2,0,610,0.1691493787328348,4,0,3,0,25,2196,320,94086,279283,19
106,2,2,0,401,0.2993475962249136,8,0,4,0,12,4256,1436,70611,63444,25
107,2,4,1,542,0.066314488806324,7,0,4,0,9,5989,3273,103411,14504,13
108,2,3,0,699,0.1704446286190625,3,1,1,1,24,805,6585,28530,5767,25
109,0,0,0,737,0.4891354759646166,7,0,4,0,20,5086,2924,107548,58960,3
110,2,3,2,560,0.6395810194776481,3,0,3,0,22,1321,166,17351,20356,8
111,1,3,0,258,0.171419833690365,4,0,1,0,21,531,693,7292,32567,16
112,0,3,1,607,0.184022059682658,7,0,4,0,22,1686,3714,97593,9677,25
113,2,1,3,221,0.1745864962581978,1,0,3,0,17,1488,2904,328506,96100,13
114,0,2,3,265,0.1257283398433345,3,0,0,0,14,6389,2248,138093,42206,28
115,2,1,3,423,0.5752885628103455,3,0,3,0,21,365,1079,285465,80697,17
116,2,0,0,254,0.0969497891516772,9,0,0,0,26,4634,1423,146426,72359,7
117,2,2,1,625,0.287568535384873,7,0,1,0,15,4153,193,80671,70727,6
118,1,2,3,328,0.1967232556077657,2,0,4,0,18,1605,1297,34229,21004,28
119,2,3,3,437,0.2173315830733256,13,0,4,0,28,7720,1667,40014,37510,1
120,2,1,1,406,0.8903091081099781,9,0,4,0,12,6337,-36,249609,58585,21
121,1,2,2,424,0.1417910203274497,3,0,1,0,32,7601,4099,234973,12517,2
122,1,3,0,716,0.4153814910039317,4,0,3,0,19,2896,6719,50743,17129,22
123,2,2,1,872,0.259887973989842,2,0,4,0,17,3879,2752,137634,55190,10
124,0,1,1,728,0.1886792636225199,5,0,4,0,17,7935,1561,48857,61518,5
125,1,1,1,497,0.3630602365156338,11,0,4,0,20,2186,-62,100970,35317,6
126,1,0,1,489,0.5774590354323942,0,0,2,0,30,10586,1352,190056,20979,18
127,0,2,2,279,0.1386474276989664,2,0,3,0,26,3263,433,26599,35589,2
128,3,0,0,185,0.3282399056971836,6,0,4,0,4,6052,2987,32691,28495,1
129,2,0,0,565,0.0493000952646422,12,0,1,0,28,6156,690,119233,27338,11
130,2,1,0,315,0.4330009418555923,8,0,2,0,29,386,633,91197,22167,12
131,1,0,3,441,0.2678184384249217,2,0,3,1,33,2260,2543,185902,12456,11
132,0,4,0,343,0.1259715627593771,6,0,4,0,5,7832,3005,89995,30373,17
133,2,3,2,571,0.4495889932166187,2,0,1,0,27,900,2164,47441,58042,1
134,0,3,2,475,0.0333665775599401,10,0,1,0,7,1515,2928,52473,40887,27
135,2,0,1,123,0.219221041374797,2,0,0,1,27,1171,1916,218403,8948,11
136,0,4,1,517,0.091975540318589,3,0,1,0,29,4476,4936,143667,64586,9
137,1,1,3,748,0.0595427989137714,5,0,3,0,16,514,1651,79314,12011,25
138,1,0,0,571,0.5129611978888098,9,0,4,0,27,87,3106,153367,61261,1
139,2,1,1,353,0.7459440869360091,10,0,4,0,6,4442,1379,109392,53347,15
140,2,4,3,92,0.9934301738970546,6,0,3,0,20,3880,2449,88713,31389,23
141,2,1,0,423,0.1536651416803833,14,0,3,1,5,5557,2122,78467,54143,11
142,2,4,3,403,0.5899854701360201,1,0,2,0,20,3092,3746,45835,137590,27
143,1,1,0,830,0.0757421720223262,3,0,2,0,21,1254,443,317187,54295,6
144,1,1,0,225,0.1775295121973092,2,0,1,1,32,751,2184,44998,7473,26
145,3,1,1,532,0.5428024663967934,4,0,3,0,11,2680,1489,43114,38947,4
146,0,1,0,580,0.7623924699279578,12,0,1,0,11,8437,3093,17439,61005,16
147,2,0,0,410,0.1911746552073041,4,0,0,0,25,1952,230,48811,7145,23
148,1,2,0,262,0.2015086496157772,1,0,1,0,13,1574,286,52720,22610,20
149,2,2,2,624,0.6045532049937687,3,0,4,0,19,4244,2065,54603,26594,6
150,3,0,0,754,0.2817813312488261,6,0,4,0,5,5716,788,62138,30270,18
151,1,4,3,911,0.69550749056791,13,0,0,0,6,7878,944,45651,53041,6
152,1,4,3,763,0.28018340559426,14,0,2,1,20,4460,2565,66034,48532,7
153,0,3,0,254,0.0837380005927523,7,0,3,0,3,5257,3011,36832,77567,4
154,2,1,1,466,0.2991618618280864,2,0,0,0,28,4669,289,31789,20308,11
155,1,2,1,392,0.2890582134012074,5,0,4,0,20,7250,2823,97648,21658,11
156,3,1,0,405,0.2713617266304728,7,1,1,1,11,2804,1239,114312,29593,13
157,0,4,1,225,0.204319085596463,7,0,4,0,28,5875,2130,10916,22866,13
158,2,2,1,524,0.1926328222498839,3,0,4,0,35,1687,714,52786,26151,8
159,0,3,0,426,0.3726807309339481,2,0,2,0,23,1292,883,103125,2936,28
160,2,1,0,319,0.369309112132806,1,0,3,0,29,16580,1385,115173,66468,1
161,2,0,1,362,0.0715581905110223,3,0,1,0,29,5995,932,101618,7871,24
162,0,2,0,250,0.1682736195186762,4,0,3,0,22,901,720,27707,30931,4
163,1,3,3,578,0.1990179530499317,0,0,0,0,28,17223,449,109264,95744,1
164,3,0,1,181,0.5927214625991472,4,0,0,0,22,1118,424,26563,15034,24
165,1,2,0,227,0.1410203399523822,4,0,4,0,19,2854,697,30204,164861,23
166,1,4,2,447,0.9255613737854838,1,0,3,0,20,9137,978,64486,37569,7
167,1,2,2,274,0.4128069538135049,3,0,3,0,25,5829,1532,29255,44635,15
168,1,0,0,176,0.2584298882060051,3,0,4,0,26,1416,549,173563,4103,1
169,1,2,3,870,0.3316567652324292,4,0,2,0,31,14921,1110,18899,5554,10
170,2,2,3,484,0.2686500344166562,2,0,4,1,26,15922,1863,67351,24437,12
171,2,3,2,463,0.537192733883696,2,0,3,0,23,3444,231,14226,74618,21
172,1,0,2,405,0.1578958777319553,3,0,1,1,18,3526,557,143168,373208,2
173,1,1,0,464,0.4600280466269026,5,0,1,0,17,2051,2901,97769,63241,7
174,0,2,2,289,0.2138637490821043,3,0,2,0,23,11162,249,43010,28334,6
175,1,3,0,296,0.1499661897276524,1,0,4,0,14,2958,2790,147962,49033,14
176,3,0,3,425,0.4041366617074037,0,0,0,0,17,6460,1385,111066,79616,5
177,3,0,0,448,0.617748833879725,2,0,0,0,23,5406,2085,108158,19556,1
178,3,3,0,571,0.7264430643711536,12,0,2,0,4,5269,1767,116879,21960,4
179,0,2,1,433,0.6252116229549669,2,0,1,0,11,-1412,2453,73464,39487,10
180,2,0,0,554,0.228579688490803,2,0,3,0,4,4545,1177,167669,79136,5
181,3,3,0,335,0.3658415302748335,8,0,0,0,5,3497,3635,199190,98061,22
182,1,4,2,409,0.2285967358028505,4,1,1,0,21,377,50,16209,23691,7
183,2,4,2,396,0.4924233380255132,5,0,3,0,24,3455,824,46033,19147,4
184,3,2,0,316,0.4217278054378457,9,0,4,0,13,4557,4031,93788,16129,22
185,3,0,2,289,0.3098267463684868,7,0,1,0,5,8331,1426,73161,36542,9
186,1,2,0,348,0.182490770461723,3,0,1,0,28,1017,806,88975,12018,22
187,0,4,1,468,0.5863233696564926,3,0,0,0,9,4088,3051,117948,44334,13
188,1,0,0,527,0.2896112728772494,3,1,3,0,23,1321,290,9884,27356,10
189,2,4,0,778,0.069272926705905,5,0,4,0,10,3784,-1383,121921,-18288,26
190,1,4,3,221,0.2273115636419587,3,0,3,0,15,2495,578,50006,3076,1
191,1,1,1,340,0.1952121424984587,0,0,4,0,16,1255,882,38276,53717,7
192,2,0,0,607,0.5426946468966488,13,1,0,1,9,3277,671,53780,22742,14
193,0,0,2,266,0.5608183882827182,4,0,0,0,5,734,281,160278,71935,13
194,1,0,3,766,0.947211889294456,10,0,2,0,20,10029,1238,134735,60500,13
195,2,0,0,315,0.0353890529746512,4,0,0,0,18,13036,230,129976,31959,21
196,1,0,0,595,0.1755092672759161,6,0,4,0,23,1889,1243,205672,45282,24
197,3,3,3,676,0.3508003191594712,0,0,1,0,27,8473,971,99407,54177,13
198,3,3,0,637,0.4061760457905456,2,0,4,0,10,1528,1789,173168,3450,16
199,0,1,3,304,0.3982234114821034,5,0,0,0,29,413,518,39073,10909,27
200,2,0,2,257,0.0434675285424871,3,0,1,0,24,9814,303,75322,23433,16
201,0,3,3,666,0.2521309718355765,0,0,1,0,27,357,2057,35897,16598,24
202,1,3,3,1683,0.4849241980674807,4,0,3,1,17,27099,1141,111272,21716,13
203,0,0,1,384,0.5437831218546786,11,0,1,0,20,5976,2590,119196,13142,17
204,2,0,0,393,0.533335691510646,4,1,3,0,23,1376,7945,42091,217371,20
205,2,2,0,287,0.3366036588888891,4,0,0,1,30,7072,2516,18930,43740,7
206,2,3,3,334,0.2933325621466074,3,0,0,0,21,5437,1068,30562,175125,28
207,2,2,2,317,0.2895896186826271,5,0,1,0,20,676,3579,135002,70363,5
208,3,3,0,723,0.981943818869732,10,0,4,0,26,6612,1615,85197,74548,11
209,1,1,1,374,0.4434558190924108,3,0,0,0,22,2195,1457,267540,21142,5
210,0,3,0,697,0.4883408155331618,2,0,1,0,31,725,746,243333,20082,19
211,1,1,1,75,0.9443816226997136,12,0,0,0,17,4418,2138,125363,52284,16
212,1,0,1,165,0.4066939804656501,12,0,3,0,20,2160,-538,322,27267,2
213,0,4,1,233,0.44844728975465,3,0,0,0,1,6334,3365,104971,16200,16
214,0,2,3,541,0.8195938097012136,1,0,1,0,17,5923,3473,49757,82425,5
215,2,0,0,391,0.1998317470712092,0,0,0,0,6,6739,1877,138754,59183,0
216,3,4,0,624,0.8317690014320848,5,0,4,0,27,10043,418,165573,48427,7
217,3,3,0,705,0.9389580392290748,1,0,4,0,15,4026,3501,134035,34217,0
218,2,1,2,351,0.6272261838002705,12,0,4,0,5,6632,630,103384,15647,16
219,1,1,0,654,0.3572748333196605,4,1,4,0,24,16375,508,16883,14867,6
220,1,4,0,653,0.5409546244167139,3,0,1,0,21,5116,1033,90405,14384,9
221,2,4,0,274,0.8545255034679266,9,0,4,0,8,2792,2926,109496,13655,10
222,1,0,2,793,0.5695821982118516,6,0,3,0,34,17875,1624,41818,31416,1
223,3,3,3,645,0.8114284373045296,7,0,4,0,12,10082,2793,287538,25056,13
224,1,3,0,254,0.3723502172715409,2,0,3,0,20,3589,965,163520,9676,6
225,2,0,0,356,0.5357138288225118,2,0,1,0,16,5189,340,169109,70081,1
226,3,3,0,267,0.2992882654089814,6,1,4,0,17,3497,1270,73948,59631,0
227,1,0,0,488,0.0479379821171438,2,0,3,1,16,3629,2094,34226,8889,25
228,1,1,2,361,0.0670957369492823,14,0,0,0,8,5907,298,74703,61640,3
229,1,1,2,411,0.4335818702789711,13,0,0,0,3,3690,3068,86407,31113,10
230,1,2,3,915,0.5690115436938827,5,0,0,0,23,1944,2048,109513,115097,12
231,0,1,1,878,0.0221652587742204,8,0,0,0,3,5411,1694,140977,34391,10
232,1,0,0,1393,0.1980549762254618,5,0,4,0,31,4252,11828,75758,38147,26
233,2,4,3,750,0.120826843113994,12,0,3,0,26,2079,2098,149111,18884,25
234,0,0,0,779,0.6210993436463027,1,0,2,0,18,9240,2757,49218,24324,17
235,1,2,2,683,0.1598227580667033,8,1,4,1,15,4887,2547,137227,80697,1
236,1,3,0,727,0.5658139341868227,4,0,3,0,23,6980,-320,118977,78655,4
237,1,0,0,714,0.180015323122227,5,0,2,0,29,14620,493,145575,10606,16
238,0,4,3,430,0.4681396415742167,14,0,1,0,5,3808,2253,137634,11536,13
239,1,3,3,419,0.237441587313672,2,0,2,0,24,2949,838,182225,9542,5
240,0,0,2,810,0.0471906435577013,14,0,0,0,2,7125,2669,82144,46383,25
241,2,0,3,246,0.6037305163519326,0,0,0,0,27,4823,6932,78572,40561,12
242,3,4,0,293,0.4229693020245045,5,0,3,0,22,5504,1502,64594,46116,9
243,2,1,0,717,0.1034965305632835,5,0,2,0,26,403,2140,56487,68233,1
244,1,1,3,556,0.5147083291945121,5,0,1,0,20,6374,2536,34835,47629,1
245,1,1,0,324,0.1836863702526435,2,0,3,0,37,2170,786,26699,14973,16
246,1,2,2,534,0.4275876459406766,6,0,4,0,19,870,1658,212878,10768,18
247,2,2,2,334,0.4794253628455604,3,0,1,1,22,2203,525,69598,52862,2
248,1,5,3,435,0.2437543067385851,7,1,2,1,37,651,494,46932,8350,20
249,2,3,2,469,0.2929929546185518,7,0,3,0,25,328,1453,66084,119143,22
250,1,1,0,582,0.2288113365355297,5,0,3,0,35,1876,5341,63811,46421,18
251,1,1,0,211,0.5814012302184836,3,0,4,0,26,6573,2470,116425,17845,18
252,2,4,0,355,0.4535374117642962,3,0,4,0,22,4109,1579,124259,13838,7
253,1,3,0,450,0.2435734070617195,3,0,2,0,26,4245,1951,9218,10296,6
254,1,1,3,431,0.4616410770362469,6,0,1,0,20,663,2192,98615,7962,4
255,1,2,0,1109,0.1225821811542247,2,0,1,0,29,3932,2640,48490,7834,4
256,2,3,0,400,0.6904088075455711,3,0,3,0,18,1690,3682,23216,9556,12
257,1,5,2,911,0.1814857768891832,2,0,3,0,19,2629,970,91501,106013,7
258,2,1,0,650,0.0762722347624971,0,0,4,0,14,1196,2679,105781,23537,18
259,2,4,0,535,0.3465324189517276,10,0,4,0,6,9141,1941,73559,58270,15
260,3,3,0,1018,0.901879825929772,2,0,0,0,15,2572,2662,98003,63821,28
261,1,0,2,468,0.9004536936514003,11,0,4,0,0,7852,2457,165915,66673,20
262,0,1,0,659,0.1383228484243692,4,0,4,0,23,2865,1426,21469,112864,2
263,1,2,0,256,0.1761231011162107,3,0,0,0,27,3496,1698,242569,20451,1
264,0,2,0,608,0.4226210891103321,6,0,4,0,17,6687,2479,61030,21388,23
265,1,4,1,579,0.6252359133268162,1,0,1,1,26,2986,2401,91940,108002,15
266,2,0,0,500,0.4970699680246924,3,0,2,0,7,4758,2639,64130,12966,15
267,2,4,1,646,0.1450957244343535,3,1,4,0,26,2828,713,96194,15118,19
268,3,2,1,499,0.4612215024739052,10,0,4,0,10,1036,1054,154405,27695,9
269,3,4,1,590,0.4708345870814485,2,0,1,0,5,7383,1473,125131,73213,9
270,0,0,0,340,0.517149127672354,3,0,0,0,29,5530,3334,40062,72930,7
271,2,0,3,394,0.1360366148395253,2,0,4,0,25,1672,294,139288,11497,14
272,3,2,1,269,0.2227320331331126,11,0,0,0,6,4392,1309,73951,14904,6
273,1,0,2,649,0.0112538011603191,3,0,2,0,23,3568,1254,15002,38127,19
274,2,2,1,113,0.0155696965107385,0,0,1,0,22,5882,2581,169730,25060,22
275,3,2,1,293,0.9367405842131344,7,0,3,0,24,8167,2761,112626,104311,9
276,0,3,3,237,0.1658385186466227,2,0,1,0,23,920,1118,18971,53292,25
277,2,0,1,632,0.0866812173124653,12,0,4,0,28,8093,2573,43678,29416,8
278,2,2,0,374,0.3737526011601697,4,0,1,0,22,55007,776,55783,4740,20
279,3,4,2,675,0.9128410786498408,9,0,1,0,25,1299,2304,113659,46789,13
280,3,3,2,477,0.6213793191768452,7,0,4,0,10,8727,4290,186843,20047,23
281,1,0,3,266,0.068052896183732,11,0,1,0,21,3022,4619,157381,41841,26
282,1,4,3,224,0.4036950478091374,2,0,3,0,23,6858,741,95823,43268,25
283,3,2,0,287,0.3955560646471729,1,0,1,0,22,1110,377,236759,8467,20
284,3,4,3,536,0.7551197403488247,10,0,0,0,12,7027,1848,33290,29315,19
285,3,3,1,468,0.5535001651969306,9,0,3,0,18,5239,1170,137162,74070,11
286,2,0,0,262,0.3592271979814797,1,0,3,0,21,14566,1086,304514,11148,21
287,3,2,1,238,0.3855612703918983,14,0,3,0,22,4859,1008,120439,37424,12
288,1,4,2,716,0.8393399486401522,10,0,0,0,22,12420,507,129126,74056,19
289,3,1,1,167,0.3200064988447088,4,0,3,0,20,946,2555,13554,11104,27
290,1,2,3,708,0.3843277736448155,4,0,0,0,5,3189,2278,69517,19521,27
291,1,0,0,612,0.1951268289799026,2,0,1,0,24,1787,3362,17800,5211,12
292,2,2,3,812,0.3955079640589924,7,0,4,0,20,4138,2981,137673,64099,19
293,1,3,0,656,0.2087350854394765,3,0,1,0,24,5525,2928,9735,6786,0
294,3,0,2,480,0.4274493608057477,6,0,4,0,17,-1838,1124,71772,56768,4
295,3,0,2,1236,0.3157520599496046,8,0,2,0,32,3684,904,18842,5278,7
296,1,2,2,815,0.3729148595440473,4,0,1,0,27,2658,2038,32949,50617,6
297,0,3,2,425,0.000604409312007,10,0,3,0,19,5247,487,34174,58736,14
298,2,0,3,575,0.0376423158554155,2,0,1,1,18,1495,12317,24306,6367,24
299,0,4,1,546,0.6844302296448531,1,0,0,1,7,2268,1184,134195,25093,27
300,1,1,0,481,0.2387293096456237,11,0,3,0,5,6554,-497,137534,51439,28
301,1,0,1,461,0.3362952621696131,3,0,1,0,15,3797,2528,8382,29240,18
302,2,0,0,564,0.5798210349160882,13,0,4,0,12,6425,2237,53154,27660,17
303,0,3,1,510,0.6708444449690919,7,0,0,0,6,943,1953,15489,68605,23
304,1,2,1,472,0.2316020336823804,4,0,1,0,19,679,584,67946,40267,14
305,3,1,3,911,0.6192543703434478,2,0,0,0,30,3515,2940,18524,24861,17
306,3,4,1,451,0.1238837977999868,2,0,4,0,2,5689,-71,67977,59064,3
307,1,4,3,337,0.6130554018846265,2,0,0,0,22,1935,170,16557,19149,20
308,0,0,3,182,0.187446021745294,4,0,3,1,23,6554,567,18595,21391,15
309,3,3,1,229,0.3416636476435906,5,0,3,0,28,5170,148,160010,13844,18
310,3,1,1,195,0.1453462238150278,9,0,4,0,1,3230,3501,123729,38175,25
311,1,0,2,267,0.1323244626323533,4,0,2,0,24,517,638,30953,13731,27
312,2,3,0,113,0.0278147852892469,3,0,0,0,23,9502,308,50376,22542,11
313,0,4,0,542,0.1951757815263083,2,0,4,0,19,4358,471,233756,7396,9
314,1,2,3,396,0.1594564148930863,3,0,0,0,21,42049,924,252782,15019,28
315,1,0,3,625,0.2489104996199133,4,0,3,0,37,3539,444,12471,25515,13
316,1,2,2,635,0.2467564679782775,7,0,4,0,23,4747,1336,197709,25506,15
317,0,0,3,462,0.608230343385386,10,0,3,0,0,5300,2558,18523,30815,13
318,2,2,0,689,0.8104773501373623,5,0,4,0,10,6663,1537,146222,51102,17
319,1,0,0,606,0.5104558375640027,14,0,3,0,22,11979,948,117861,71960,20
320,1,0,0,159,0.1303537822489815,4,0,1,0,19,1950,1926,114059,16598,2
