,CreditScore,AnnualIncome,LoanAmount,LoanDuration,Age,EmploymentStatus,EducationLevel,DebtToIncomeRatio,InterestRate,JobTenure,LoanApproved
52,501,29772.0,12015.0,36.0,38,0,3,0.4172559630230402,0.2150172188297441,4,1
53,646,56372.0,15822.72,26.0,37,1,4,0.5152144390992375,0.0828789575182446,8,1
54,521,16357.0,9442.0,12.0,42,1,3,0.3323546836088837,0.2214419596418436,5,0
55,546,71906.0,33411.0,60.0,30,2,1,0.4035173112351721,0.2961467719899738,4,0
56,563,87051.0,38590.0,72.0,53,0,1,0.4125577176924094,0.3053576256302894,5,0
57,627,27393.6,14599.0,0.9,62,1,1,0.8261743614143254,0.0616961582415609,5,0
58,504,61594.4,18495.0,3.6,58,0,2,0.8857875974510953,0.1714817148534064,22,0
59,572,54822.0,27052.0,108.0,40,2,0,0.3389738401835578,0.270913267511311,8,0
60,643,51264.0,16467.0,0.9,57,1,2,0.2198219487077032,0.1197594951766346,32,0
61,655,62044.0,14912.64,4.0,61,0,4,0.5227782187619997,0.1311435665672934,38,1
62,535,19868.0,8259.0,60.0,37,0,3,0.3775073613135373,0.2556473464682747,6,0
63,582,55490.0,20425.0,72.0,37,0,1,0.197170650439876,0.256088514012989,2,1
64,513,40422.0,22555.0,24.0,34,0,3,0.5032197576254499,0.2532007410096137,7,0
65,434,73172.0,12872.0,60.0,32,0,1,0.4562774446704423,0.3142546295573852,5,0
66,552,16707.0,12006.0,36.0,46,2,1,0.2817296003281392,0.1918052876527902,5,0
67,712,49025.600000000006,24337.0,11.7,39,0,4,0.7246343961947695,0.17912714774498,0,0
68,385,32132.800000000003,16805.0,0.9,64,2,1,0.6662778858595091,0.04646676294053,24,0
69,686,68547.0,11148.160000000002,5.0,57,0,1,0.1412697081464684,0.2504197045786624,26,1
70,632,56096.0,17861.120000000003,4.0,48,0,0,0.7122940967511717,0.0700317634420614,24,1
71,513,57829.600000000006,17171.0,3.6,44,1,4,0.1363159467221923,0.1144007506289424,7,0
72,551,75902.0,9118.0,24.0,37,0,1,0.2344380118856959,0.2280291873581239,5,1
73,394,56751.2,20028.0,10.8,50,1,3,0.1440551371375129,0.2786344674930494,6,0
74,566,184385.0,66131.0,60.0,54,0,4,0.4335504968898772,0.2841689277745378,3,0
75,504,35219.0,25095.0,24.0,47,0,0,0.1844347536536345,0.2336059686457746,4,0
76,626,29708.0,44904.0,108.0,67,2,3,0.1390383949919657,0.3310455667053086,8,0
77,626,130708.0,11745.0,24.0,28,0,1,0.2303042923177786,0.1631820930701539,3,1
78,587,79429.0,17141.0,48.0,47,0,4,0.3878809290250096,0.1960895466366499,2,1
79,565,80198.0,16631.680000000004,22.0,44,1,0,0.6124275321904258,0.2604811562571968,15,1
80,359,49205.600000000006,23667.0,4.5,46,1,2,0.6685907205818423,0.1920359554038923,15,0
81,581,45543.0,22249.0,72.0,37,0,0,0.3168599953997479,0.1983875092523241,6,0
82,498,22116.0,21942.0,60.0,49,0,0,0.207321732848009,0.2957142087947338,8,0
83,372,51290.4,23164.0,3.6,59,0,1,0.1040672918891436,0.0574042073845606,23,0
84,833,43306.0,17456.0,4.0,54,0,3,0.603643046770577,0.2264489246349347,15,1
85,748,85912.0,15016.96,8.0,58,2,0,0.6598696997626401,0.1713239362988287,23,1
86,481,24302.0,22851.0,96.0,46,0,4,0.3859571484894873,0.299905681418249,6,0
87,662,56383.0,7295.360000000001,12.0,48,1,0,0.1418562351515478,0.0269498643949852,4,1
88,314,31700.800000000003,29451.0,1.8,50,1,0,0.477544494558479,0.1388329668835821,22,0
89,697,56659.2,16344.0,6.3,44,0,0,0.6401447395059348,0.0820494448456086,20,0
90,603,72878.0,47435.0,24.0,45,0,0,0.1757842298456215,0.236811715663256,6,0
91,755,38764.8,12112.0,13.5,40,0,0,0.3230756762052339,0.0119913442225172,17,0
92,625,50551.0,43561.0,60.0,66,2,1,0.1636702260033739,0.1994656956346381,4,0
93,756,66063.0,10709.120000000004,3.0,56,0,1,0.0364012444750938,0.1870967671956588,5,1
94,497,57453.600000000006,18462.0,2.7,50,1,1,0.2094716809744456,0.2485024125572885,10,0
95,554,63340.8,25992.0,1.8,60,0,3,0.0369856847977614,0.0234223681018331,28,0
96,632,37931.2,23097.0,6.3,54,1,0,0.1719786801330799,0.1988008092604436,35,0
97,303,51316.8,14902.0,18.9,33,2,3,0.2087748666662449,0.1332172363077141,1,0
98,569,52846.0,14484.480000000003,22.0,34,2,1,0.1221076582064268,0.264005863445682,0,1
99,570,75330.0,18964.0,48.0,46,0,4,0.1536125792138923,0.2139694892369455,4,1
100,548,86591.0,22883.0,12.0,56,0,3,0.4571888892995631,0.2443849446259584,4,1
101,701,55426.0,5964.8,11.0,56,2,2,0.128015355996602,0.0238424768969901,14,1
102,719,61187.0,12961.920000000002,8.0,29,1,4,0.2218028906919741,0.12470407827859,6,1
103,368,32422.4,21227.0,0.9,49,2,1,0.6523558145631149,0.1806385154072888,18,0
104,568,42577.0,15712.0,36.0,27,0,0,0.4072740728181431,0.2218504267174263,6,0
105,623,134518.0,53495.0,24.0,48,0,2,0.1858297077706712,0.234318365965137,5,0
106,350,64660.8,28249.0,2.7,62,0,1,0.2264465571500418,0.2343578980963066,37,0
107,518,89722.0,9381.12,10.0,53,0,2,0.7681598913038569,0.272314956060718,20,1
108,574,44231.0,19831.0,48.0,18,0,3,0.3024709792601822,0.1968090295730514,4,0
109,388,36043.2,18101.0,14.4,46,0,2,0.8710419285207918,0.0799336361925644,27,0
110,625,161465.0,41877.0,72.0,35,0,0,0.1952465193245109,0.2504998556639283,10,1
111,586,28586.0,15626.0,72.0,51,0,3,0.1118173906726708,0.2602088385777322,5,0
112,604,82777.0,17902.72,4.0,61,1,3,0.5229545608124364,0.2587790039188104,10,1
113,638,38749.0,33365.0,60.0,47,0,4,0.5669757766675751,0.2448189287546724,5,0
114,431,25667.2,16723.0,4.5,59,2,2,0.4043005803109524,0.1310016068705835,25,0
115,506,16918.0,22675.0,12.0,33,0,3,0.2386188068147011,0.2257894336247885,6,0
116,347,56828.0,17247.0,22.5,34,1,3,0.1556481394145382,0.0759969303958404,1,0
117,325,24279.2,6934.0,7.2,47,2,3,0.1166823635616137,0.0600595786009665,23,0
118,597,40358.0,55661.0,36.0,37,0,0,0.2201198260768618,0.2275477601701254,6,0
119,607,30015.2,27160.0,3.6,44,0,1,0.0312708181931516,0.0601836220924892,16,0
120,480,45657.600000000006,20900.0,8.1,53,2,4,0.3055722405635243,0.0477897276446881,24,0
121,579,42224.0,17630.0,24.0,19,0,3,0.3480778519830425,0.237126310403931,4,0
122,538,15000.0,17213.0,48.0,43,0,3,0.5026091401195443,0.2413813991039713,7,0
123,359,69413.6,20750.0,7.2,44,1,4,0.7395581019272826,0.1204400454320422,17,0
124,776,27300.0,22152.0,12.6,41,1,1,0.2983396103771583,0.1786385564767196,1,0
125,744,45106.0,12800.64,25.0,38,0,3,0.1604347862099304,0.1712950118702932,15,1
126,548,24611.0,21110.0,24.0,43,2,1,0.222317808740061,0.2473423829653818,5,0
127,627,51733.0,20521.0,48.0,41,0,0,0.2086150521236074,0.222996322276139,2,0
128,661,81143.0,10839.68,6.0,51,1,0,0.6939033990907506,0.2063417454248308,23,1
129,387,30093.6,15663.0,15.3,48,1,2,0.2499540704260003,0.1914716698762273,13,0
130,738,35822.0,13183.36,28.0,38,1,1,0.3357351749662558,0.064636533559651,14,1
131,595,162175.0,24177.0,60.0,56,0,0,0.4388994364703383,0.2352018615042477,2,1
132,722,37917.0,11353.6,6.0,47,2,3,0.3023744367537649,0.2381992724854167,25,1
133,607,29544.0,42566.0,36.0,39,0,3,0.2748472299559337,0.2326910967295136,4,0
134,404,43669.600000000006,25972.0,2.7,58,2,3,0.991844934367452,0.0666308706709759,2,0
135,631,36305.0,20047.0,60.0,21,0,4,0.353809556610691,0.2300349686247125,8,0
136,496,48502.4,25738.0,17.1,35,1,4,0.062525648445805,0.0162089659918329,13,0
137,569,37860.0,11068.0,36.0,21,0,1,0.091727570401465,0.192651263882167,6,0
138,302,56074.4,20475.0,5.4,40,1,2,0.619548897401097,0.1114438241076101,5,0
139,574,59320.0,11424.64,4.0,34,0,4,0.6648355482402556,0.166680961731434,10,1
140,509,59589.600000000006,24306.0,2.7,61,1,3,0.121790087935379,0.1645958809482628,25,0
141,527,39578.4,17939.0,22.5,40,2,1,0.61251489056648,0.1518578124424137,7,0
142,558,26879.0,23365.0,36.0,36,0,1,0.2932775251393844,0.2350760736671125,5,0
143,582,41417.0,18571.0,36.0,29,0,3,0.2462169392307346,0.1937089703491659,3,0
144,652,21995.0,16522.0,48.0,58,0,0,0.4215048492305823,0.1848105606285677,7,0
145,688,76143.2,23147.0,20.7,39,2,4,0.3244489118027516,0.1866695443591141,7,0
146,629,74364.0,12887.68,10.0,46,1,3,0.6358594705266569,0.0250319404010788,19,1
147,590,44376.0,9875.0,24.0,47,0,0,0.4010672819802007,0.2201257204957098,5,0
148,566,110155.0,18367.0,84.0,37,0,1,0.1334080299199088,0.2386758024841613,7,1
149,584,49206.0,15407.36,6.0,42,0,4,0.3389622737590753,0.2349897336903801,13,1
150,511,49998.0,17705.600000000002,18.0,42,0,4,0.3898029316996229,0.1579814945981475,21,1
151,796,42822.4,16142.0,18.9,44,1,3,0.6789366661087828,0.0774037988313247,17,0
152,372,63003.2,26795.0,12.6,32,1,4,0.4519254330071817,0.0629693970026935,9,0
153,456,65640.0,23333.0,12.6,33,2,3,0.9768813182379852,0.1756383348072471,12,0
154,610,103112.0,36161.0,60.0,29,0,1,0.4478301649563306,0.236155123454287,4,0
155,359,29680.800000000003,9241.0,2.7,56,1,2,0.9658485387481248,0.0173653246695643,36,0
156,401,44957.600000000006,20806.0,8.1,47,2,2,0.6394838729035043,0.1556952182345242,5,0
157,602,60752.0,15796.480000000003,4.0,61,1,1,0.0911586549967572,0.0145451843260142,30,1
158,598,20431.0,18846.0,48.0,43,0,3,0.3627993757674376,0.2299569388670001,8,0
159,502,19669.0,29992.0,36.0,23,0,0,0.1298536082578024,0.2811162200323728,3,0
160,646,45989.0,20605.0,60.0,44,1,4,0.1904578890224818,0.2236237058608002,5,0
161,645,55308.0,19539.0,72.0,43,0,2,0.2662099288951911,0.1696312,4,1
162,588,96889.0,14491.0,60.0,52,0,3,0.1821476673292208,0.2405392974636385,5,0
163,464,53283.0,16311.0,60.0,35,0,3,0.3084167639419357,0.2831793209855421,3,0
164,626,127404.0,22839.0,60.0,53,0,3,0.257690262174553,0.2397616522631584,8,1
165,576,25231.0,26187.0,36.0,19,0,3,0.2840572717771222,0.2678243999999999,4,0
166,423,45984.8,31523.0,11.7,39,1,3,0.76060156603988,0.2006842096960717,13,0
167,642,17542.0,41378.0,48.0,55,0,1,0.191878018856546,0.2099646806274244,8,0
168,562,33811.0,19054.0,60.0,45,1,0,0.0937245659504024,0.2247142306919594,6,0
169,571,85889.0,24186.0,72.0,25,0,1,0.0505386436633547,0.2796177481671844,4,0
170,587,42513.0,45450.0,96.0,40,0,1,0.069679269778102,0.2562126015619406,7,0
171,633,42636.0,16910.0,36.0,45,0,0,0.2609272059983097,0.1959842886193564,9,0
172,583,55067.0,36355.0,72.0,43,0,1,0.1648990249430113,0.2955021732328112,2,0
173,363,49100.8,14445.0,1.8,30,1,0,0.0754770701269946,0.1712328570725499,0,0
174,590,30890.0,10176.0,24.0,36,0,3,0.1247302171537788,0.1765266450530429,7,0
175,700,53476.0,13801.6,5.0,62,1,1,0.1926531636031231,0.0782292566738753,19,1
176,486,35862.4,27323.0,1.8,60,2,3,0.6630477346074664,0.0740888652153258,17,0
177,830,72697.0,10367.36,16.0,50,0,0,0.6185402330133208,0.0895938549991155,22,1
178,708,41530.0,12383.36,13.0,35,0,0,0.1079760164032233,0.0800651319494366,17,1
179,376,47669.600000000006,16396.0,9.0,55,1,1,0.7311667351847234,0.0165332230354254,11,0
180,643,41229.600000000006,19473.0,19.8,36,0,3,0.72768740035564,0.270874491475935,10,0
181,476,24838.4,17286.0,8.1,51,0,1,0.4782095477907103,0.284166965260283,28,0
182,576,222737.0,31482.0,120.0,30,0,1,0.0382349697003737,0.2821125387083392,4,1
183,578,103964.0,28876.0,12.0,46,0,3,0.389237685912734,0.2229584190318322,4,0
184,539,55455.0,8968.320000000002,11.0,43,2,3,0.609605241334895,0.0906648300230256,21,1
185,555,57584.0,12798.080000000002,7.0,35,1,4,0.7915241626497022,0.2652250517252836,3,1
186,590,79491.0,47332.0,96.0,25,0,1,0.218404080102937,0.3447984,4,0
187,376,41626.4,21389.0,1.8,62,1,3,0.2193082583856309,0.0663151011776225,15,0
188,500,15000.0,20496.0,108.0,32,0,0,0.6547451793162965,0.3379859550070634,5,0
189,613,111121.0,10743.68,16.0,45,1,0,0.0338633389450913,0.0925176517193021,19,1
190,598,65073.0,25136.0,24.0,28,0,1,0.0567774232715901,0.2095372173361558,7,0
191,634,112503.0,20679.0,60.0,35,0,1,0.0606737004308224,0.2389185353324509,5,1
192,310,50367.2,24773.0,7.2,53,2,3,0.792206014794044,0.1849925854482295,7,0
193,437,34031.200000000004,16330.0,11.7,49,2,1,0.724753000195978,0.2688759409737182,29,0
194,591,57467.2,22170.0,9.0,32,1,2,0.7534587278917112,0.0126916484301245,6,0
195,544,221285.0,36536.0,36.0,50,0,3,0.110203729751351,0.2458331266878333,1,1
196,589,60554.0,17489.0,48.0,44,0,1,0.1753327868599526,0.1995392650768275,4,1
197,641,84621.0,13319.680000000002,11.0,55,2,4,0.1692695866487973,0.1972516832748626,0,1
198,669,39796.0,13435.520000000002,28.0,35,0,0,0.0712223028957127,0.1547443748557229,5,1
199,636,73474.0,15409.0,24.0,43,0,3,0.5216475692952743,0.1728868049086952,8,1
200,560,48684.0,30022.0,48.0,49,0,0,0.4596621706529342,0.2525505370612774,2,0
201,643,52880.0,15360.0,12.0,57,0,2,0.024732527185783,0.1549233381206913,4,0
202,639,66842.0,39097.0,84.0,48,2,1,0.304815329986042,0.2415735626686477,7,0
203,636,63056.0,15043.84,7.0,60,0,1,0.0189991005131403,0.0417266903234015,9,1
204,635,98086.0,21577.0,24.0,49,0,1,0.3171170063462178,0.1995320761231087,11,0
205,606,18067.0,21163.0,72.0,40,0,3,0.239518941144831,0.2262825015434161,10,0
206,526,85092.0,29675.0,36.0,47,2,3,0.4671921152624496,0.2289497529475739,7,1
207,608,79125.0,15169.0,60.0,42,1,1,0.3514871367143216,0.1770668630671969,7,1
208,490,47408.8,12442.0,12.6,46,1,1,0.7469505134531902,0.157202914137762,8,0
209,396,65235.0,16566.0,72.0,30,1,1,0.3242613607648702,0.3142706509305261,3,0
210,630,26472.0,26994.0,60.0,39,0,4,0.1236749944948454,0.2182775133238921,4,0
211,453,37971.2,15943.0,3.6,60,1,2,0.0330933649171684,0.0685746435535605,28,0
212,536,48998.0,12878.080000000002,5.0,45,1,0,0.0833122748911924,0.0788484822267396,21,1
213,385,54557.600000000006,20532.0,0.9,51,1,0,0.7450027405976354,0.042240014720895,14,0
214,397,45645.600000000006,15056.0,10.8,37,1,1,0.8424439806312793,0.0215986994735517,0,0
215,619,34194.4,23317.0,19.8,41,0,2,0.6874886074245983,0.2393016158580602,15,0
216,745,58432.8,21792.0,14.4,35,2,3,0.5224166304913747,0.221654866562716,1,0
217,573,55880.8,20455.0,0.9,49,1,1,0.8869463686739537,0.1928274311043158,23,0
218,728,38232.0,13569.280000000002,3.0,57,0,2,0.4270022662407374,0.1312412177611624,17,1
219,493,27620.0,56522.0,36.0,38,0,3,0.2015475035328438,0.3159298565504624,1,0
220,620,32715.0,37007.0,84.0,30,0,0,0.0800826764421153,0.2801270538228656,9,0
221,788,56280.0,14272.0,11.0,51,0,1,0.6240396174765135,0.0767573127860441,30,1
222,607,153227.0,13032.0,60.0,31,0,3,0.5225543584024658,0.1959508282450345,6,1
223,837,85695.0,10915.2,12.0,43,1,0,0.4377800465929378,0.1768496062970689,9,1
224,577,110903.0,20824.0,24.0,48,0,0,0.3847207148644104,0.1962859649607318,6,1
225,490,27814.0,20151.0,12.0,50,0,3,0.2061578335571912,0.2431380145055444,4,0
226,425,54699.2,17750.0,0.9,45,2,0,0.8539789311313852,0.2663724649072795,6,0
227,524,34829.0,21379.0,24.0,39,0,3,0.6184688620726336,0.2750849123404205,6,0
228,775,40034.4,18419.0,12.6,51,1,3,0.105404052532271,0.1951467487849671,31,0
229,677,66425.0,9975.04,12.0,47,2,3,0.325267206869689,0.2415522871723037,24,1
230,484,61190.0,15228.0,48.0,34,0,3,0.1171372925490228,0.2288100019774945,5,0
231,317,62036.8,11683.0,16.2,40,2,0,0.1946916022483208,0.211860574579134,22,0
232,535,54322.0,18029.0,24.0,42,2,1,0.1143138932719708,0.2427208329208338,5,0
233,435,54531.2,23632.0,2.7,57,1,0,0.3320788032525241,0.1455477432747094,36,0
234,416,23845.0,15268.0,60.0,43,0,3,0.1325550084065777,0.3583706709763428,1,0
235,480,49592.8,21834.0,5.4,29,2,0,0.0068451771854818,0.24720897658412,3,0
236,427,68336.8,17209.0,16.2,27,1,3,0.2784943074969451,0.2017674996644169,5,0
237,592,26746.0,17623.0,48.0,51,0,0,0.0877657662448392,0.2187969791515864,2,0
238,619,67427.0,8819.840000000002,3.0,62,1,3,0.1183918214475453,0.1841289595077658,18,1
239,612,88713.0,33527.0,36.0,51,0,3,0.58132275096165,0.2124483026013136,7,0
240,636,44670.4,16217.0,5.4,43,1,2,0.7677998548356874,0.2305879140164753,5,0
241,601,29949.0,8947.0,84.0,53,0,1,0.3676357796437635,0.2203125765493961,6,0
242,501,79352.0,15230.72,5.0,59,1,4,0.1672059299660446,0.2248564771491763,27,1
243,338,46922.4,25387.0,3.6,38,1,3,0.4811216023683263,0.1260429199632245,10,0
244,729,36843.0,15620.480000000003,31.0,35,1,3,0.2453761603910013,0.0480335045042704,17,1
245,627,62642.0,19144.0,60.0,60,0,3,0.3502688939467772,0.2388739648086896,9,0
246,573,26806.0,28811.0,24.0,54,0,1,0.5354198734756538,0.2476800114374411,5,0
247,569,45248.0,22581.0,36.0,18,0,0,0.3505544565217846,0.206119992314805,3,0
248,540,105953.0,14498.0,48.0,35,0,3,0.1835555563997425,0.2171365638913663,5,0
249,625,46512.0,19978.0,24.0,30,0,4,0.1686871730101478,0.1863540325973577,2,0
250,607,46296.0,22152.0,48.0,59,0,3,0.321795786940856,0.226513592492463,3,0
251,734,50637.0,12215.68,10.0,57,1,0,0.2609896466945999,0.2441244978677778,6,1
252,557,95570.0,44823.0,60.0,34,1,1,0.1944774643843088,0.27357747057364,10,0
253,549,67465.0,22159.0,48.0,40,0,4,0.5907246039870332,0.2278291012293912,5,0
254,561,66513.0,25995.0,48.0,41,0,3,0.2289348954813441,0.2276848931607243,3,0
255,570,31126.0,12670.0,96.0,56,0,3,0.1027002518070015,0.2867133395325258,3,0
256,570,30134.0,22377.0,36.0,32,0,1,0.1088734431840426,0.2093523494063646,3,0
257,613,94013.0,13946.0,36.0,44,1,1,0.5423862340347387,0.1902480019407586,5,1
258,558,37736.0,8715.520000000002,9.0,50,2,1,0.1152900460293573,0.0933110241314413,22,1
259,466,56895.2,20874.0,7.2,55,2,3,0.6104247332359517,0.2285101246955519,27,0
260,718,33356.0,24947.0,3.6,51,0,0,0.3918380928491539,0.1798306256841688,14,0
261,308,38669.6,22878.0,7.2,42,0,1,0.2540268545782805,0.0533700274616937,7,0
262,564,21031.0,33692.0,24.0,25,2,4,0.5079226986974409,0.2489497302157127,5,0
263,677,62765.0,12396.8,21.0,31,1,2,0.2764710381548982,0.0432831201551862,11,1
264,590,58785.0,12764.160000000002,10.0,45,0,1,0.1952475915131981,0.1685877997608452,11,1
265,657,44777.0,16075.0,48.0,57,0,0,0.1294553645395854,0.21909,6,0
266,695,59343.0,4454.400000000001,5.0,37,1,2,0.6047058710598132,0.2087509795087451,4,1
267,583,28572.0,9947.0,48.0,40,0,0,0.3285392435915223,0.2091186611593144,6,0
268,541,85160.0,19379.2,20.0,47,2,3,0.4712250304756543,0.1906076880891457,6,1
269,318,45246.4,22232.0,4.5,31,1,1,0.7162285774121541,0.0452740721553054,7,0
270,574,99837.0,22914.0,36.0,39,0,1,0.3372132374416055,0.209023016167484,4,1
271,570,63788.0,31585.0,60.0,43,0,4,0.2431769454501645,0.2257966100481532,9,0
272,594,74959.0,11576.320000000002,27.0,37,0,0,0.342819534416572,0.1647198306424934,12,1
273,516,36767.0,23140.0,48.0,38,0,3,0.4182224167603952,0.2990288802975067,5,0
274,695,53135.0,9312.64,10.0,41,1,3,0.583556005558467,0.0965437688927554,10,1
275,749,36817.6,15436.0,8.1,39,2,2,0.0581817238991432,0.1358470930836484,3,0
276,612,95007.0,17295.0,60.0,23,0,2,0.2007068963708582,0.2117906282465745,6,1
277,732,41236.0,10774.0,9.9,48,0,3,0.6068595164845805,0.1221661350626714,16,0
278,591,93816.0,27789.0,72.0,45,0,0,0.238848922167641,0.2164964705387348,5,1
279,499,49216.8,23057.0,22.5,37,0,0,0.9984338009742232,0.0955026302376554,16,0
280,836,60554.0,12351.36,14.0,50,1,3,0.6268402439087704,0.2428778763507817,15,1
281,845,31684.0,13164.160000000002,5.0,61,1,4,0.4471921340360383,0.2315400819897966,24,1
282,587,28167.0,41402.0,72.0,32,0,4,0.1377421564060349,0.2615468360940258,11,0
283,640,61697.0,41811.0,84.0,67,0,1,0.5236225174346665,0.2692878417008538,5,0
284,444,42142.4,16721.0,1.8,55,0,2,0.1205582492293498,0.1249869495699755,31,0
285,421,39296.8,21711.0,3.6,55,0,4,0.0446090862551566,0.1362406546903243,18,0
286,558,27537.0,31325.0,60.0,36,0,1,0.5899289788706144,0.2317009090581,3,0
287,570,43413.600000000006,25079.0,6.3,56,1,1,0.8789758035179077,0.2519210604440047,34,0
288,311,52619.2,22662.0,8.1,50,0,4,0.7158560190068586,0.2963418417709002,27,0
289,565,111290.0,28390.0,24.0,80,0,1,0.0358957711946285,0.2314491692489161,6,1
290,668,44083.0,13379.84,3.0,53,0,1,0.6075369762956666,0.2187904951321705,0,1
291,648,79340.0,30011.0,84.0,35,1,4,0.4672851276115017,0.1977488301654721,6,0
292,826,51279.0,16672.0,5.0,55,0,2,0.5183136061944961,0.2479507964705292,12,1
293,569,60243.2,26574.0,9.0,26,1,4,0.6461705229168174,0.226066765916157,7,0
294,340,54641.600000000006,22349.0,6.3,43,2,2,0.0488338837857168,0.0808536806802466,20,0
295,526,34135.0,38554.0,36.0,18,0,3,0.4702849982551138,0.2892345404756348,5,0
296,607,62764.0,7985.0,24.0,49,0,2,0.2752434913088172,0.1622929805232342,8,1
297,559,47758.4,14034.0,0.9,62,1,4,0.8229509093312687,0.0115370448550005,3,0
298,662,32195.0,13923.0,60.0,56,1,1,0.3053701661259775,0.187733292255355,3,0
