CreditScore,AnnualIncome,LoanAmount,LoanDuration,Age,EmploymentStatus,MaritalStatus,NumberOfDependents,EducationLevel,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,InterestRate,PaymentHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,NetWorth,LengthOfCreditHistory,UtilityBillsPaymentHistory,JobTenure,CorrectPrediction,LoanApproved
833,43306.0,17456.0,4.0,54,0,2,1,3,2,87,0.0445875005312249,10,8,0.603643046770577,0,1,0,0.2264489246349347,21,5292,1841,119842,39952,83531,3,0.3898427513851006,15,0,1
748,85912.0,15016.96,8.0,58,2,0,3,0,2,573,0.2682559358472419,2,6,0.6598696997626401,0,4,0,0.1713239362988287,8,4544,2482,102186,22831,52630,25,0.6074031971154793,23,1,1
481,24302.0,22851.0,96.0,46,0,1,1,4,1,374,0.4407894100816378,2,0,0.3859571484894873,0,1,0,0.299905681418249,17,4631,8306,47471,43704,3767,20,0.9257443393648622,6,1,0
662,56383.0,7295.360000000001,12.0,48,1,1,0,0,0,289,0.1120609673006735,6,5,0.1418562351515478,0,3,0,0.0269498643949852,24,3818,2328,24910,38366,50870,19,0.0126510407270756,4,0,1
314,31700.800000000003,29451.0,1.8,50,1,3,2,0,1,567,0.5077865757286314,6,0,0.477544494558479,0,1,0,0.1388329668835821,23,2571,2506,155815,23306,82142,4,0.951068179705592,22,1,0
697,56659.2,16344.0,6.3,44,0,2,3,0,0,748,0.2043913788807797,11,2,0.6401447395059348,0,4,0,0.0820494448456086,16,4009,2133,45168,39777,60436,0,0.150395989018731,20,1,0
603,72878.0,47435.0,24.0,45,0,0,1,0,0,560,0.453973964571248,2,0,0.1757842298456215,0,1,1,0.236811715663256,24,2335,916,25707,24885,6824,18,0.7669612285016524,6,0,0
755,38764.8,12112.0,13.5,40,0,2,2,0,1,637,0.1345477111789549,14,3,0.3230756762052339,0,4,0,0.0119913442225172,26,3360,431,96984,40519,59765,12,0.1485995001842395,17,1,0
625,50551.0,43561.0,60.0,66,2,0,0,1,3,593,0.2766030267468546,3,0,0.1636702260033739,0,4,0,0.1994656956346381,41,538,525,105892,85324,20568,22,0.90197972258954,4,1,0
756,66063.0,10709.120000000004,3.0,56,0,2,0,1,0,551,0.8729161376723639,11,6,0.0364012444750938,0,0,0,0.1870967671956588,20,620,1769,60906,3877,86777,14,0.298275996435247,5,1,1
497,57453.600000000006,18462.0,2.7,50,1,0,0,1,0,626,0.0293734521183991,14,4,0.2094716809744456,0,4,0,0.2485024125572885,27,7165,2563,39270,65376,31640,25,0.9546085768678456,10,1,0
554,63340.8,25992.0,1.8,60,0,2,0,3,0,279,0.6574580769910363,10,4,0.0369856847977614,0,4,0,0.0234223681018331,19,10561,2217,1328,32240,15874,8,0.6313689601730113,28,0,0
632,37931.2,23097.0,6.3,54,1,3,1,0,0,470,0.2975105122388619,7,9,0.1719786801330799,0,4,0,0.1988008092604436,15,6744,2964,146903,70080,52571,4,0.4129817873153597,35,1,0
303,51316.8,14902.0,18.9,33,2,2,2,3,1,124,0.4215572415972488,1,7,0.2087748666662449,0,1,0,0.1332172363077141,5,663,1266,107338,22945,64250,11,0.196722249644862,1,1,0
569,52846.0,14484.480000000003,22.0,34,2,0,4,1,1,548,0.0548601140667702,2,3,0.1221076582064268,0,4,0,0.264005863445682,13,6099,863,45968,31738,33036,6,0.6562203312695412,0,0,1
570,75330.0,18964.0,48.0,46,0,3,0,4,3,414,0.0389017446276106,3,1,0.1536125792138923,0,1,0,0.2139694892369455,27,13517,500,26370,20472,5898,10,0.7814567675350338,4,1,1
548,86591.0,22883.0,12.0,56,0,2,1,3,2,302,0.2930895540461071,2,0,0.4571888892995631,0,2,0,0.2443849446259584,28,2022,370,307985,5584,302401,13,0.7216596247283783,4,1,1
701,55426.0,5964.8,11.0,56,2,0,4,2,0,567,0.2333010621225357,12,7,0.128015355996602,0,1,0,0.0238424768969901,20,2094,3730,70011,52275,65162,28,0.3887591514675651,14,0,1
719,61187.0,12961.920000000002,8.0,29,1,3,1,4,3,463,0.137444640664506,3,7,0.2218028906919741,0,0,0,0.12470407827859,29,7038,1581,85049,49691,139288,3,0.7584836917675242,6,1,1
368,32422.4,21227.0,0.9,49,2,3,2,1,0,258,0.334875156715657,12,8,0.6523558145631149,0,4,0,0.1806385154072888,5,7277,2865,123056,60709,43761,2,0.3751186234705603,18,1,0
568,42577.0,15712.0,36.0,27,0,2,3,0,0,174,0.3523375737900653,6,0,0.4072740728181431,0,1,0,0.2218504267174263,31,10990,742,43194,46776,6765,4,0.6882733434594257,6,1,0
623,134518.0,53495.0,24.0,48,0,1,2,2,0,610,0.1691493787328348,4,0,0.1858297077706712,0,3,0,0.234318365965137,25,2196,320,94086,279283,10673,19,0.9555503116494848,5,0,0
350,64660.8,28249.0,2.7,62,0,2,2,1,0,401,0.2993475962249136,8,3,0.2264465571500418,0,4,0,0.2343578980963066,12,4256,1436,70611,63444,88427,25,0.8777534149217455,37,0,0
518,89722.0,9381.12,10.0,53,0,2,4,2,1,542,0.066314488806324,7,9,0.7681598913038569,0,4,0,0.272314956060718,9,5989,3273,103411,14504,23864,13,0.9690131173469252,20,1,1
574,44231.0,19831.0,48.0,18,0,2,3,3,0,699,0.1704446286190625,3,1,0.3024709792601822,1,1,1,0.1968090295730514,24,805,6585,28530,5767,22763,25,0.9676288780475796,4,1,0
388,36043.2,18101.0,14.4,46,0,0,0,2,0,737,0.4891354759646166,7,2,0.8710419285207918,0,4,0,0.0799336361925644,20,5086,2924,107548,58960,35312,3,0.3417951181823064,27,1,0
625,161465.0,41877.0,72.0,35,0,2,3,0,2,560,0.6395810194776481,3,1,0.1952465193245109,0,3,0,0.2504998556639283,22,1321,166,17351,20356,9130,8,0.8870617393263001,10,1,1
586,28586.0,15626.0,72.0,51,0,1,3,3,0,258,0.171419833690365,4,0,0.1118173906726708,0,1,0,0.2602088385777322,21,531,693,7292,32567,8868,16,0.8445088686447909,5,1,0
604,82777.0,17902.72,4.0,61,1,0,3,3,1,607,0.184022059682658,7,0,0.5229545608124364,0,4,0,0.2587790039188104,22,1686,3714,97593,9677,75596,25,0.49285728704121,10,1,1
638,38749.0,33365.0,60.0,47,0,2,1,4,3,221,0.1745864962581978,1,0,0.5669757766675751,0,3,0,0.2448189287546724,17,1488,2904,328506,96100,232406,13,0.900971513803892,5,1,0
431,25667.2,16723.0,4.5,59,2,0,2,2,3,265,0.1257283398433345,3,9,0.4043005803109524,0,0,0,0.1310016068705835,14,6389,2248,138093,42206,60347,28,0.0940437460054097,25,1,0
506,16918.0,22675.0,12.0,33,0,2,1,3,3,423,0.5752885628103455,3,2,0.2386188068147011,0,3,0,0.2257894336247885,21,365,1079,285465,80697,204768,17,0.8615774069861847,6,1,0
347,56828.0,17247.0,22.5,34,1,2,0,3,0,254,0.0969497891516772,9,2,0.1556481394145382,0,0,0,0.0759969303958404,26,4634,1423,146426,72359,115297,7,0.2111927155714423,1,1,0
325,24279.2,6934.0,7.2,47,2,2,2,3,1,625,0.287568535384873,7,8,0.1166823635616137,0,1,0,0.0600595786009665,15,4153,193,80671,70727,-8562,6,0.4910817870053587,23,1,0
597,40358.0,55661.0,36.0,37,0,1,2,0,3,328,0.1967232556077657,2,1,0.2201198260768618,0,4,0,0.2275477601701254,18,1605,1297,34229,21004,13225,28,0.8723282099303401,6,1,0
607,30015.2,27160.0,3.6,44,0,2,3,1,3,437,0.2173315830733256,13,0,0.0312708181931516,0,4,0,0.0601836220924892,28,7720,1667,40014,37510,21218,1,0.4624728662744493,16,1,0
480,45657.600000000006,20900.0,8.1,53,2,2,1,4,1,406,0.8903091081099781,9,3,0.3055722405635243,0,4,0,0.0477897276446881,12,6337,-36,249609,58585,45849,21,0.9697330265200328,24,1,0
579,42224.0,17630.0,24.0,19,0,1,2,3,2,424,0.1417910203274497,3,0,0.3480778519830425,0,1,0,0.237126310403931,32,7601,4099,234973,12517,222456,2,0.7120778290603565,4,1,0
538,15000.0,17213.0,48.0,43,0,1,3,3,0,716,0.4153814910039317,4,2,0.5026091401195443,0,3,0,0.2413813991039713,19,2896,6719,50743,17129,33614,22,0.9122379938430633,7,1,0
359,69413.6,20750.0,7.2,44,1,2,2,4,1,872,0.259887973989842,2,4,0.7395581019272826,0,4,0,0.1204400454320422,17,3879,2752,137634,55190,34037,10,0.7232516754395764,17,0,0
776,27300.0,22152.0,12.6,41,1,0,1,1,1,728,0.1886792636225199,5,6,0.2983396103771583,0,4,0,0.1786385564767196,17,7935,1561,48857,61518,98329,5,0.1722756160189406,1,1,0
744,45106.0,12800.64,25.0,38,0,1,1,3,1,497,0.3630602365156338,11,4,0.1604347862099304,0,4,0,0.1712950118702932,20,2186,-62,100970,35317,48486,6,0.7535979364330977,15,0,1
548,24611.0,21110.0,24.0,43,2,1,0,1,1,489,0.5774590354323942,0,1,0.222317808740061,0,2,0,0.2473423829653818,30,10586,1352,190056,20979,169077,18,0.7565857226468845,5,1,0
627,51733.0,20521.0,48.0,41,0,0,2,0,2,279,0.1386474276989664,2,1,0.2086150521236074,0,3,0,0.222996322276139,26,3263,433,26599,35589,2064,2,0.9621109645883024,2,1,0
661,81143.0,10839.68,6.0,51,1,3,0,0,0,185,0.3282399056971836,6,7,0.6939033990907506,0,4,0,0.2063417454248308,4,6052,2987,32691,28495,55520,1,0.462176162873128,23,1,1
387,30093.6,15663.0,15.3,48,1,2,0,2,0,565,0.0493000952646422,12,5,0.2499540704260003,0,1,0,0.1914716698762273,28,6156,690,119233,27338,33744,11,0.4713372931686496,13,1,0
738,35822.0,13183.36,28.0,38,1,2,1,1,0,315,0.4330009418555923,8,3,0.3357351749662558,0,2,0,0.064636533559651,29,386,633,91197,22167,27636,12,0.9066416505200796,14,0,1
595,162175.0,24177.0,60.0,56,0,1,0,0,3,441,0.2678184384249217,2,2,0.4388994364703383,0,3,1,0.2352018615042477,33,2260,2543,185902,12456,173446,11,0.980769014706146,2,1,1
722,37917.0,11353.6,6.0,47,2,0,4,3,0,343,0.1259715627593771,6,3,0.3023744367537649,0,4,0,0.2381992724854167,5,7832,3005,89995,30373,80770,17,0.537821949361779,25,0,1
